Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
Especialidad,26.00,0.53,0.01,22.00,0.45,0.01,1.00,0.02,0.01,0.00,0.00,0.00,27.00,0.55,0.01,21.00,0.43,0.01,1.00,0.02,0.01,0.00,0.00,0.00,37.00,0.76,0.01,9.00,0.18,0.01,3.00,0.06,0.06,0.00,0.00,0.00,32.00,0.65,0.01,15.00,0.31,0.01,2.00,0.04,0.02,0.00,0.00,0.00,32.00,0.65,0.01,13.00,0.27,0.01,4.00,0.08,0.03,0.00,0.00,0.00
Maestría,928.00,0.59,0.39,590.00,0.38,0.34,48.00,0.03,0.35,3.00,0.00,0.50,973.00,0.62,0.39,565.00,0.36,0.34,28.00,0.02,0.34,3.00,0.00,0.75,1215.00,0.77,0.39,337.00,0.22,0.32,15.00,0.01,0.29,2.00,0.00,0.50,996.00,0.64,0.39,542.00,0.35,0.34,29.00,0.02,0.35,2.00,0.00,0.50,989.00,0.63,0.38,515.00,0.33,0.34,60.00,0.04,0.43,5.00,0.00,0.63
Doctorado,255.00,0.59,0.11,159.00,0.37,0.09,22.00,0.05,0.16,0.00,0.00,0.00,273.00,0.63,0.11,147.00,0.34,0.09,16.00,0.04,0.20,0.00,0.00,0.00,321.00,0.74,0.10,98.00,0.23,0.09,16.00,0.04,0.31,1.00,0.00,0.25,283.00,0.65,0.11,140.00,0.32,0.09,13.00,0.03,0.16,0.00,0.00,0.00,262.00,0.60,0.10,153.00,0.35,0.10,19.00,0.04,0.14,2.00,0.01,0.25
Posdoctorado,10.00,0.71,0.00,4.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.79,0.00,3.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.64,0.00,5.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.71,0.00,4.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.57,0.00,6.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Menor o igual a 10,1638.00,0.57,0.68,1149.00,0.40,0.67,97.00,0.03,0.71,4.00,0.00,0.67,1681.00,0.58,0.67,1147.00,0.40,0.69,56.00,0.02,0.68,4.00,0.00,1.00,2144.00,0.74,0.68,704.00,0.24,0.67,37.00,0.01,0.71,3.00,0.00,0.75,1777.00,0.62,0.69,1047.00,0.36,0.66,61.00,0.02,0.74,3.00,0.00,0.75,1787.00,0.62,0.69,989.00,0.34,0.66,106.00,0.04,0.76,6.00,0.00,0.75
11 a 20,507.00,0.57,0.21,366.00,0.41,0.21,19.00,0.02,0.14,1.00,0.00,0.17,548.00,0.61,0.22,329.00,0.37,0.20,16.00,0.02,0.20,0.00,0.00,0.00,672.00,0.75,0.21,216.00,0.24,0.20,4.00,0.00,0.08,1.00,0.00,0.25,545.00,0.61,0.21,334.00,0.37,0.21,14.00,0.02,0.17,0.00,0.00,0.00,541.00,0.61,0.21,329.00,0.37,0.22,21.00,0.02,0.15,2.00,0.00,0.25
21 a 30,251.00,0.53,0.11,200.00,0.42,0.12,20.00,0.04,0.15,1.00,0.00,0.17,268.00,0.57,0.11,194.00,0.41,0.12,10.00,0.02,0.12,0.00,0.00,0.00,322.00,0.68,0.10,139.00,0.29,0.13,11.00,0.02,0.21,0.00,0.00,0.00,264.00,0.56,0.10,199.00,0.42,0.13,8.00,0.02,0.10,1.00,0.00,0.25,271.00,0.57,0.10,188.00,0.40,0.13,13.00,0.03,0.09,0.00,0.00,0.00
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,1931.00,0.58,0.81,1300.00,0.39,0.76,109.00,0.03,0.80,6.00,0.00,1.00,2037.00,0.61,0.82,1240.00,0.37,0.74,65.00,0.02,0.79,4.00,0.00,1.00,2521.00,0.75,0.80,781.00,0.23,0.74,41.00,0.01,0.79,3.00,0.00,0.75,2095.00,0.63,0.81,1188.00,0.36,0.75,60.00,0.02,0.72,3.00,0.00,0.75,2070.00,0.62,0.80,1157.00,0.35,0.77,115.00,0.03,0.82,4.00,0.00,0.50
Interino,75.00,0.56,0.03,56.00,0.42,0.03,3.00,0.02,0.02,0.00,0.00,0.00,72.00,0.54,0.03,59.00,0.44,0.04,3.00,0.02,0.04,0.00,0.00,0.00,95.00,0.71,0.03,37.00,0.28,0.04,2.00,0.02,0.04,0.00,0.00,0.00,73.00,0.55,0.03,57.00,0.43,0.04,3.00,0.02,0.04,1.00,0.01,0.25,82.00,0.61,0.03,44.00,0.33,0.03,7.00,0.05,0.05,1.00,0.01,0.13
No tengo nombramiento,229.00,0.50,0.10,216.00,0.47,0.13,17.00,0.04,0.13,0.00,0.00,0.00,222.00,0.48,0.09,230.00,0.50,0.14,10.00,0.02,0.12,0.00,0.00,0.00,304.00,0.66,0.10,153.00,0.33,0.14,4.00,0.01,0.08,1.00,0.00,0.25,242.00,0.52,0.09,209.00,0.45,0.13,11.00,0.02,0.13,0.00,0.00,0.00,255.00,0.55,0.10,192.00,0.42,0.13,14.00,0.03,0.10,1.00,0.00,0.13
Otro,161.00,0.52,0.07,143.00,0.46,0.08,7.00,0.02,0.05,0.00,0.00,0.00,166.00,0.53,0.07,141.00,0.45,0.08,4.00,0.01,0.05,0.00,0.00,0.00,218.00,0.70,0.07,88.00,0.28,0.08,5.00,0.02,0.10,0.00,0.00,0.00,176.00,0.57,0.07,126.00,0.41,0.08,9.00,0.03,0.11,0.00,0.00,0.00,192.00,0.62,0.07,113.00,0.36,0.08,4.00,0.01,0.03,2.00,0.01,0.25
GENERAL PÚBLICA,1526.00,0.55,0.64,1159.00,0.42,0.68,93.00,0.03,0.68,2.00,0.00,0.33,1638.00,0.59,0.66,1081.00,0.39,0.65,58.00,0.02,0.71,3.00,0.00,0.75,2064.00,0.74,0.66,686.00,0.25,0.65,29.00,0.01,0.56,1.00,0.00,0.25,1697.00,0.61,0.66,1030.00,0.37,0.65,51.00,0.02,0.61,2.00,0.00,0.50,1702.00,0.61,0.66,983.00,0.35,0.65,89.00,0.03,0.64,6.00,0.00,0.75
INDÍGENAS,206.00,0.56,0.09,150.00,0.41,0.09,11.00,0.03,0.08,2.00,0.01,0.33,180.00,0.49,0.07,178.00,0.48,0.11,10.00,0.03,0.12,1.00,0.00,0.25,250.00,0.68,0.08,115.00,0.31,0.11,3.00,0.01,0.06,1.00,0.00,0.25,195.00,0.53,0.08,163.00,0.44,0.10,10.00,0.03,0.12,1.00,0.00,0.25,199.00,0.54,0.08,161.00,0.44,0.11,7.00,0.02,0.05,2.00,0.01,0.25
TÉCNICA,363.00,0.65,0.15,184.00,0.33,0.11,14.00,0.03,0.10,0.00,0.00,0.00,376.00,0.67,0.15,181.00,0.32,0.11,4.00,0.01,0.05,0.00,0.00,0.00,444.00,0.79,0.14,105.00,0.19,0.10,12.00,0.02,0.23,0.00,0.00,0.00,383.00,0.68,0.15,167.00,0.30,0.11,10.00,0.02,0.12,1.00,0.00,0.25,383.00,0.68,0.15,156.00,0.28,0.10,22.00,0.04,0.16,0.00,0.00,0.00
TELESECUNDARIA,301.00,0.55,0.13,222.00,0.41,0.13,18.00,0.03,0.13,2.00,0.00,0.33,303.00,0.56,0.12,230.00,0.42,0.14,10.00,0.02,0.12,0.00,0.00,0.00,380.00,0.70,0.12,153.00,0.28,0.14,8.00,0.02,0.15,2.00,0.00,0.50,311.00,0.57,0.12,220.00,0.41,0.14,12.00,0.02,0.15,0.00,0.00,0.00,315.00,0.58,0.12,206.00,0.38,0.14,22.00,0.04,0.16,0.00,0.00,0.00
Total,2396.00,0.56,1.00,1715.00,0.40,1.00,136.00,0.03,1.00,6.00,0.00,1.00,2497.00,0.59,1.00,1670.00,0.39,1.00,82.00,0.02,1.00,4.00,0.00,1.00,3138.00,0.74,1.00,1059.00,0.25,1.00,52.00,0.01,1.00,4.00,0.00,1.00,2586.00,0.61,1.00,1580.00,0.37,1.00,83.00,0.02,1.00,4.00,0.00,1.00,2599.00,0.61,1.00,1506.00,0.35,1.00,140.00,0.03,1.00,8.00,0.00,1.00
