Entidad,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
SONORA,51.00,0.35,0.03,78.00,0.53,0.03,15.00,0.10,0.04,3.00,0.02,0.09,104.00,0.71,0.04,41.00,0.28,0.04,2.00,0.01,0.03,0.00,0.00,0.00,69.00,0.47,0.03,64.00,0.44,0.04,14.00,0.10,0.05,0.00,0.00,0.00,99.00,0.67,0.03,43.00,0.29,0.04,5.00,0.03,0.05,0.00,0.00,0.00,101.00,0.69,0.04,41.00,0.28,0.03,4.00,0.03,0.03,1.00,0.01,0.08,104.00,0.71,0.04,38.00,0.26,0.03,5.00,0.03,0.05,0.00,0.00,0.00,107.00,0.73,0.03,35.00,0.24,0.04,5.00,0.03,0.09,0.00,0.00,0.00,95.00,0.65,0.03,44.00,0.30,0.04,7.00,0.05,0.07,1.00,0.01,0.14,99.00,0.67,0.03,43.00,0.29,0.04,5.00,0.03,0.06,0.00,0.00,0.00
TABASCO,55.00,0.42,0.04,65.00,0.50,0.03,10.00,0.08,0.02,0.00,0.00,0.00,94.00,0.72,0.03,36.00,0.28,0.03,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.52,0.03,55.00,0.42,0.03,7.00,0.05,0.02,0.00,0.00,0.00,93.00,0.72,0.03,33.00,0.25,0.03,4.00,0.03,0.04,0.00,0.00,0.00,93.00,0.72,0.03,29.00,0.22,0.02,8.00,0.06,0.07,0.00,0.00,0.00,93.00,0.72,0.03,36.00,0.28,0.03,1.00,0.01,0.01,0.00,0.00,0.00,108.00,0.83,0.03,21.00,0.16,0.03,1.00,0.01,0.02,0.00,0.00,0.00,90.00,0.69,0.03,34.00,0.26,0.03,6.00,0.05,0.06,0.00,0.00,0.00,97.00,0.75,0.03,30.00,0.23,0.03,3.00,0.02,0.03,0.00,0.00,0.00
TAMAULIPAS,43.00,0.29,0.03,96.00,0.64,0.04,11.00,0.07,0.03,1.00,0.01,0.03,116.00,0.77,0.04,33.00,0.22,0.03,2.00,0.01,0.03,0.00,0.00,0.00,82.00,0.54,0.04,61.00,0.40,0.03,8.00,0.05,0.03,0.00,0.00,0.00,112.00,0.74,0.04,36.00,0.24,0.03,3.00,0.02,0.03,0.00,0.00,0.00,105.00,0.70,0.04,44.00,0.29,0.04,2.00,0.01,0.02,0.00,0.00,0.00,103.00,0.68,0.04,43.00,0.29,0.03,5.00,0.03,0.05,0.00,0.00,0.00,120.00,0.80,0.04,29.00,0.19,0.04,2.00,0.01,0.04,0.00,0.00,0.00,106.00,0.70,0.04,41.00,0.27,0.03,4.00,0.03,0.04,0.00,0.00,0.00,118.00,0.78,0.04,31.00,0.21,0.03,2.00,0.01,0.02,0.00,0.00,0.00
TLAXCALA,56.00,0.36,0.04,79.00,0.50,0.03,21.00,0.13,0.05,1.00,0.01,0.03,110.00,0.70,0.04,43.00,0.27,0.04,4.00,0.03,0.06,0.00,0.00,0.00,84.00,0.54,0.04,60.00,0.38,0.03,13.00,0.08,0.04,0.00,0.00,0.00,101.00,0.64,0.04,50.00,0.32,0.04,6.00,0.04,0.07,0.00,0.00,0.00,113.00,0.72,0.04,39.00,0.25,0.03,5.00,0.03,0.04,0.00,0.00,0.00,114.00,0.73,0.04,40.00,0.26,0.03,3.00,0.02,0.03,0.00,0.00,0.00,118.00,0.75,0.04,35.00,0.22,0.04,4.00,0.03,0.07,0.00,0.00,0.00,103.00,0.66,0.04,49.00,0.31,0.04,5.00,0.03,0.05,0.00,0.00,0.00,109.00,0.69,0.04,41.00,0.26,0.04,7.00,0.05,0.08,0.00,0.00,0.00
VERACRUZ,34.00,0.30,0.02,62.00,0.55,0.03,15.00,0.13,0.04,1.00,0.01,0.03,70.00,0.63,0.02,40.00,0.36,0.03,2.00,0.02,0.03,0.00,0.00,0.00,46.00,0.41,0.02,54.00,0.48,0.03,12.00,0.11,0.04,0.00,0.00,0.00,69.00,0.62,0.02,40.00,0.36,0.03,3.00,0.03,0.03,0.00,0.00,0.00,73.00,0.65,0.03,37.00,0.33,0.03,2.00,0.02,0.02,0.00,0.00,0.00,70.00,0.63,0.02,39.00,0.35,0.03,3.00,0.03,0.03,0.00,0.00,0.00,84.00,0.75,0.03,26.00,0.23,0.03,2.00,0.02,0.04,0.00,0.00,0.00,64.00,0.57,0.02,46.00,0.41,0.04,2.00,0.02,0.02,0.00,0.00,0.00,68.00,0.61,0.02,44.00,0.39,0.04,0.00,0.00,0.00,0.00,0.00,0.00
YUCATÁN,39.00,0.39,0.03,51.00,0.51,0.02,10.00,0.10,0.02,1.00,0.01,0.03,79.00,0.78,0.03,21.00,0.21,0.02,1.00,0.01,0.02,0.00,0.00,0.00,49.00,0.49,0.02,43.00,0.43,0.02,8.00,0.08,0.03,1.00,0.01,0.14,73.00,0.72,0.03,25.00,0.25,0.02,3.00,0.03,0.03,0.00,0.00,0.00,75.00,0.74,0.03,24.00,0.24,0.02,2.00,0.02,0.02,0.00,0.00,0.00,70.00,0.69,0.02,29.00,0.29,0.02,2.00,0.02,0.02,0.00,0.00,0.00,83.00,0.82,0.03,17.00,0.17,0.02,1.00,0.01,0.02,0.00,0.00,0.00,71.00,0.70,0.02,27.00,0.27,0.02,3.00,0.03,0.03,0.00,0.00,0.00,74.00,0.73,0.02,24.00,0.24,0.02,2.00,0.02,0.02,1.00,0.01,0.20
ZACATECAS,49.00,0.26,0.03,110.00,0.59,0.05,24.00,0.13,0.06,4.00,0.02,0.11,113.00,0.60,0.04,65.00,0.35,0.06,9.00,0.05,0.14,0.00,0.00,0.00,87.00,0.47,0.04,82.00,0.44,0.05,18.00,0.10,0.06,0.00,0.00,0.00,105.00,0.56,0.04,73.00,0.39,0.06,9.00,0.05,0.10,0.00,0.00,0.00,108.00,0.58,0.04,65.00,0.35,0.05,13.00,0.07,0.11,1.00,0.01,0.08,111.00,0.59,0.04,69.00,0.37,0.06,6.00,0.03,0.06,1.00,0.01,0.14,130.00,0.70,0.04,54.00,0.29,0.07,3.00,0.02,0.06,0.00,0.00,0.00,106.00,0.57,0.04,71.00,0.38,0.06,10.00,0.05,0.10,0.00,0.00,0.00,116.00,0.62,0.04,63.00,0.34,0.06,8.00,0.04,0.09,0.00,0.00,0.00
Hombre,656.00,0.35,0.44,1007.00,0.54,0.44,179.00,0.10,0.41,11.00,0.01,0.31,1293.00,0.70,0.43,524.00,0.28,0.45,34.00,0.02,0.54,2.00,0.00,0.67,938.00,0.51,0.44,788.00,0.43,0.44,126.00,0.07,0.40,1.00,0.00,0.14,1257.00,0.68,0.43,551.00,0.30,0.45,44.00,0.02,0.47,1.00,0.00,0.33,1247.00,0.67,0.43,551.00,0.30,0.46,50.00,0.03,0.40,5.00,0.00,0.42,1257.00,0.68,0.44,551.00,0.30,0.44,43.00,0.02,0.39,2.00,0.00,0.29,1454.00,0.79,0.43,379.00,0.21,0.46,19.00,0.01,0.35,1.00,0.00,0.33,1300.00,0.70,0.45,512.00,0.28,0.42,40.00,0.02,0.39,1.00,0.00,0.14,1306.00,0.71,0.42,499.00,0.27,0.48,45.00,0.02,0.52,3.00,0.00,0.60
Mujer,828.00,0.35,0.56,1294.00,0.54,0.56,254.00,0.11,0.59,24.00,0.01,0.69,1721.00,0.72,0.57,649.00,0.27,0.55,29.00,0.01,0.46,1.00,0.00,0.33,1199.00,0.50,0.56,1007.00,0.42,0.56,188.00,0.08,0.60,6.00,0.00,0.86,1670.00,0.70,0.57,679.00,0.28,0.55,49.00,0.02,0.53,2.00,0.00,0.67,1666.00,0.69,0.57,653.00,0.27,0.54,74.00,0.03,0.60,7.00,0.00,0.58,1625.00,0.68,0.56,703.00,0.29,0.56,67.00,0.03,0.61,5.00,0.00,0.71,1909.00,0.80,0.57,453.00,0.19,0.54,36.00,0.02,0.66,2.00,0.00,0.67,1611.00,0.67,0.55,721.00,0.30,0.59,62.00,0.03,0.61,6.00,0.00,0.86,1807.00,0.75,0.58,549.00,0.23,0.52,42.00,0.02,0.48,2.00,0.00,0.40
18 a 20 años,2.00,0.20,0.00,5.00,0.50,0.00,3.00,0.30,0.01,0.00,0.00,0.00,5.00,0.50,0.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.30,0.00,7.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.70,0.00,3.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.50,0.00,4.00,0.40,0.00,1.00,0.10,0.01,0.00,0.00,0.00,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.70,0.00,3.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.90,0.00,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 a 30 años,84.00,0.41,0.06,94.00,0.46,0.04,24.00,0.12,0.06,3.00,0.02,0.09,147.00,0.72,0.05,56.00,0.27,0.05,2.00,0.01,0.03,0.00,0.00,0.00,98.00,0.48,0.05,88.00,0.43,0.05,18.00,0.09,0.06,1.00,0.01,0.14,130.00,0.63,0.04,70.00,0.34,0.06,5.00,0.02,0.05,0.00,0.00,0.00,143.00,0.70,0.05,52.00,0.25,0.04,10.00,0.05,0.08,0.00,0.00,0.00,128.00,0.62,0.04,69.00,0.34,0.06,8.00,0.04,0.07,0.00,0.00,0.00,158.00,0.77,0.05,42.00,0.21,0.05,4.00,0.02,0.07,1.00,0.01,0.33,131.00,0.64,0.05,68.00,0.33,0.06,5.00,0.02,0.05,1.00,0.01,0.14,148.00,0.72,0.05,55.00,0.27,0.05,2.00,0.01,0.02,0.00,0.00,0.00
31 a 40 años,298.00,0.30,0.20,576.00,0.58,0.25,106.00,0.11,0.25,13.00,0.01,0.37,687.00,0.69,0.23,291.00,0.29,0.25,13.00,0.01,0.21,2.00,0.00,0.67,446.00,0.45,0.21,469.00,0.47,0.26,77.00,0.08,0.25,1.00,0.00,0.14,661.00,0.67,0.23,302.00,0.30,0.25,28.00,0.03,0.30,2.00,0.00,0.67,649.00,0.65,0.22,316.00,0.32,0.26,25.00,0.03,0.20,3.00,0.00,0.25,634.00,0.64,0.22,325.00,0.33,0.26,31.00,0.03,0.28,3.00,0.00,0.43,743.00,0.75,0.22,234.00,0.24,0.28,14.00,0.01,0.26,2.00,0.00,0.67,627.00,0.63,0.22,334.00,0.34,0.27,30.00,0.03,0.29,2.00,0.00,0.29,684.00,0.69,0.22,287.00,0.29,0.27,18.00,0.02,0.21,4.00,0.00,0.80
41 a 50 años,442.00,0.35,0.30,670.00,0.53,0.29,138.00,0.11,0.32,8.00,0.01,0.23,871.00,0.69,0.29,366.00,0.29,0.31,21.00,0.02,0.33,0.00,0.00,0.00,606.00,0.48,0.28,544.00,0.43,0.30,106.00,0.08,0.34,2.00,0.00,0.29,841.00,0.67,0.29,391.00,0.31,0.32,25.00,0.02,0.27,1.00,0.00,0.33,862.00,0.69,0.30,343.00,0.27,0.29,51.00,0.04,0.41,2.00,0.00,0.17,849.00,0.68,0.30,371.00,0.30,0.30,36.00,0.03,0.33,2.00,0.00,0.29,969.00,0.77,0.29,269.00,0.21,0.32,20.00,0.02,0.36,0.00,0.00,0.00,846.00,0.67,0.29,374.00,0.30,0.30,35.00,0.03,0.34,3.00,0.00,0.43,918.00,0.73,0.30,311.00,0.25,0.30,29.00,0.02,0.33,0.00,0.00,0.00
51 a 60 años,443.00,0.35,0.30,685.00,0.54,0.30,126.00,0.10,0.29,7.00,0.01,0.20,893.00,0.71,0.30,350.00,0.28,0.30,17.00,0.01,0.27,1.00,0.00,0.33,673.00,0.53,0.32,500.00,0.40,0.28,87.00,0.07,0.28,1.00,0.00,0.14,902.00,0.72,0.31,336.00,0.27,0.27,23.00,0.02,0.25,0.00,0.00,0.00,863.00,0.68,0.30,366.00,0.29,0.30,26.00,0.02,0.21,6.00,0.01,0.50,877.00,0.70,0.30,357.00,0.28,0.29,27.00,0.02,0.25,0.00,0.00,0.00,1029.00,0.82,0.31,219.00,0.17,0.26,13.00,0.01,0.24,0.00,0.00,0.00,884.00,0.70,0.30,350.00,0.28,0.28,26.00,0.02,0.26,1.00,0.00,0.14,937.00,0.74,0.30,299.00,0.24,0.29,25.00,0.02,0.29,0.00,0.00,0.00
61 a 70 años,193.00,0.42,0.13,235.00,0.51,0.10,32.00,0.07,0.07,4.00,0.01,0.11,362.00,0.78,0.12,94.00,0.20,0.08,8.00,0.02,0.13,0.00,0.00,0.00,280.00,0.60,0.13,160.00,0.35,0.09,23.00,0.05,0.07,1.00,0.00,0.14,345.00,0.74,0.12,108.00,0.23,0.09,11.00,0.02,0.12,0.00,0.00,0.00,348.00,0.75,0.12,106.00,0.23,0.09,9.00,0.02,0.07,1.00,0.00,0.08,339.00,0.73,0.12,117.00,0.25,0.09,7.00,0.02,0.06,1.00,0.00,0.14,403.00,0.87,0.12,58.00,0.13,0.07,3.00,0.01,0.06,0.00,0.00,0.00,370.00,0.80,0.13,89.00,0.19,0.07,5.00,0.01,0.05,0.00,0.00,0.00,369.00,0.80,0.12,82.00,0.18,0.08,12.00,0.03,0.14,1.00,0.00,0.20
71 a 80 años,22.00,0.36,0.02,36.00,0.58,0.02,4.00,0.07,0.01,0.00,0.00,0.00,49.00,0.79,0.02,11.00,0.18,0.01,2.00,0.03,0.03,0.00,0.00,0.00,31.00,0.50,0.02,27.00,0.44,0.02,3.00,0.05,0.01,1.00,0.02,0.14,41.00,0.66,0.01,20.00,0.32,0.02,1.00,0.02,0.01,0.00,0.00,0.00,43.00,0.69,0.02,17.00,0.27,0.01,2.00,0.03,0.02,0.00,0.00,0.00,49.00,0.79,0.02,11.00,0.18,0.01,1.00,0.02,0.01,1.00,0.02,0.14,54.00,0.87,0.02,7.00,0.11,0.01,1.00,0.02,0.02,0.00,0.00,0.00,47.00,0.76,0.02,14.00,0.23,0.01,1.00,0.02,0.01,0.00,0.00,0.00,48.00,0.77,0.02,13.00,0.21,0.01,1.00,0.02,0.01,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",3.00,0.17,0.00,12.00,0.67,0.01,2.00,0.11,0.01,1.00,0.06,0.03,11.00,0.61,0.00,7.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.39,0.00,8.00,0.44,0.00,3.00,0.17,0.01,0.00,0.00,0.00,7.00,0.39,0.00,10.00,0.56,0.01,0.00,0.00,0.00,1.00,0.06,0.33,9.00,0.50,0.00,7.00,0.39,0.01,2.00,0.11,0.02,0.00,0.00,0.00,8.00,0.44,0.00,10.00,0.56,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.72,0.00,5.00,0.28,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.72,0.00,5.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.61,0.00,7.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Normal básica sin licenciatura,33.00,0.38,0.02,44.00,0.51,0.02,9.00,0.11,0.02,0.00,0.00,0.00,55.00,0.64,0.02,29.00,0.34,0.03,2.00,0.02,0.03,0.00,0.00,0.00,42.00,0.49,0.02,33.00,0.38,0.02,10.00,0.12,0.03,1.00,0.01,0.14,60.00,0.70,0.02,23.00,0.27,0.02,3.00,0.04,0.03,0.00,0.00,0.00,55.00,0.64,0.02,27.00,0.31,0.02,2.00,0.02,0.02,2.00,0.02,0.17,56.00,0.65,0.02,30.00,0.35,0.02,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.81,0.02,16.00,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.66,0.02,28.00,0.33,0.02,1.00,0.01,0.01,0.00,0.00,0.00,68.00,0.79,0.02,16.00,0.19,0.02,2.00,0.02,0.02,0.00,0.00,0.00
Normal superior,80.00,0.33,0.05,138.00,0.57,0.06,23.00,0.10,0.05,1.00,0.00,0.03,158.00,0.65,0.05,80.00,0.33,0.07,4.00,0.02,0.06,0.00,0.00,0.00,110.00,0.46,0.05,114.00,0.47,0.06,17.00,0.07,0.05,1.00,0.00,0.14,156.00,0.65,0.05,79.00,0.33,0.06,7.00,0.03,0.08,0.00,0.00,0.00,154.00,0.64,0.05,79.00,0.33,0.07,9.00,0.04,0.07,0.00,0.00,0.00,167.00,0.69,0.06,71.00,0.29,0.06,4.00,0.02,0.04,0.00,0.00,0.00,198.00,0.82,0.06,43.00,0.18,0.05,1.00,0.00,0.02,0.00,0.00,0.00,179.00,0.74,0.06,57.00,0.24,0.05,6.00,0.03,0.06,0.00,0.00,0.00,180.00,0.74,0.06,60.00,0.25,0.06,2.00,0.01,0.02,0.00,0.00,0.00
Normal Intercultural Bilingüe,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,620.00,0.34,0.42,996.00,0.54,0.43,204.00,0.11,0.47,14.00,0.01,0.40,1252.00,0.68,0.42,552.00,0.30,0.47,29.00,0.02,0.46,1.00,0.00,0.33,848.00,0.46,0.40,836.00,0.46,0.47,146.00,0.08,0.47,4.00,0.00,0.57,1200.00,0.65,0.41,592.00,0.32,0.48,41.00,0.02,0.44,1.00,0.00,0.33,1218.00,0.66,0.42,552.00,0.30,0.46,62.00,0.03,0.50,2.00,0.00,0.17,1178.00,0.64,0.41,596.00,0.33,0.48,57.00,0.03,0.52,3.00,0.00,0.43,1375.00,0.75,0.41,428.00,0.23,0.51,29.00,0.02,0.53,2.00,0.00,0.67,1189.00,0.65,0.41,592.00,0.32,0.48,50.00,0.03,0.49,3.00,0.00,0.43,1285.00,0.70,0.41,508.00,0.28,0.49,40.00,0.02,0.46,1.00,0.00,0.20
Especialidad,13.00,0.27,0.01,31.00,0.63,0.01,5.00,0.10,0.01,0.00,0.00,0.00,33.00,0.67,0.01,16.00,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.41,0.01,26.00,0.53,0.01,3.00,0.06,0.01,0.00,0.00,0.00,30.00,0.61,0.01,19.00,0.39,0.02,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.63,0.01,15.00,0.31,0.01,3.00,0.06,0.02,0.00,0.00,0.00,31.00,0.63,0.01,17.00,0.35,0.01,1.00,0.02,0.01,0.00,0.00,0.00,37.00,0.76,0.01,10.00,0.20,0.01,2.00,0.04,0.04,0.00,0.00,0.00,31.00,0.63,0.01,15.00,0.31,0.01,3.00,0.06,0.03,0.00,0.00,0.00,33.00,0.67,0.01,16.00,0.33,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Maestría,553.00,0.35,0.37,843.00,0.54,0.37,157.00,0.10,0.36,16.00,0.01,0.46,1148.00,0.73,0.38,402.00,0.26,0.34,17.00,0.01,0.27,2.00,0.00,0.67,838.00,0.53,0.39,620.00,0.40,0.35,110.00,0.07,0.35,1.00,0.00,0.14,1130.00,0.72,0.39,405.00,0.26,0.33,33.00,0.02,0.36,1.00,0.00,0.33,1103.00,0.70,0.38,427.00,0.27,0.36,34.00,0.02,0.27,5.00,0.00,0.42,1100.00,0.70,0.38,426.00,0.27,0.34,41.00,0.03,0.37,2.00,0.00,0.29,1292.00,0.82,0.38,260.00,0.17,0.31,16.00,0.01,0.29,1.00,0.00,0.33,1102.00,0.70,0.38,436.00,0.28,0.35,29.00,0.02,0.28,2.00,0.00,0.29,1183.00,0.75,0.38,350.00,0.22,0.33,34.00,0.02,0.39,2.00,0.00,0.40
Doctorado,172.00,0.39,0.12,230.00,0.53,0.10,31.00,0.07,0.07,3.00,0.01,0.09,342.00,0.78,0.11,84.00,0.19,0.07,10.00,0.02,0.16,0.00,0.00,0.00,265.00,0.61,0.12,150.00,0.34,0.08,21.00,0.05,0.07,0.00,0.00,0.00,330.00,0.76,0.11,98.00,0.23,0.08,8.00,0.02,0.09,0.00,0.00,0.00,329.00,0.76,0.11,92.00,0.21,0.08,12.00,0.03,0.10,3.00,0.01,0.25,330.00,0.76,0.12,97.00,0.22,0.08,7.00,0.02,0.06,2.00,0.01,0.29,366.00,0.84,0.11,63.00,0.14,0.08,7.00,0.02,0.13,0.00,0.00,0.00,330.00,0.76,0.11,91.00,0.21,0.07,13.00,0.03,0.13,2.00,0.01,0.29,342.00,0.78,0.11,83.00,0.19,0.08,9.00,0.02,0.10,2.00,0.01,0.40
Posdoctorado,7.00,0.50,0.01,5.00,0.36,0.00,2.00,0.14,0.01,0.00,0.00,0.00,10.00,0.71,0.00,3.00,0.21,0.00,1.00,0.07,0.02,0.00,0.00,0.00,5.00,0.36,0.00,5.00,0.36,0.00,4.00,0.29,0.01,0.00,0.00,0.00,9.00,0.64,0.00,4.00,0.29,0.00,1.00,0.07,0.01,0.00,0.00,0.00,9.00,0.64,0.00,5.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.57,0.00,6.00,0.43,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.64,0.00,5.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.50,0.00,7.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.50,0.00,7.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00
