Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
TLAXCALA,107.00,0.32,0.03,207.00,0.62,0.03,18.00,0.05,0.02,0.00,0.00,0.00,96.00,0.29,0.03,219.00,0.66,0.03,16.00,0.05,0.02,1.00,0.00,0.03,113.00,0.34,0.03,177.00,0.53,0.03,36.00,0.11,0.03,6.00,0.02,0.03,133.00,0.40,0.03,184.00,0.55,0.03,15.00,0.05,0.02,0.00,0.00,0.00,125.00,0.38,0.03,183.00,0.55,0.03,23.00,0.07,0.03,1.00,0.00,0.01,119.00,0.36,0.03,194.00,0.58,0.03,17.00,0.05,0.03,2.00,0.01,0.02,122.00,0.37,0.03,192.00,0.58,0.03,17.00,0.05,0.02,1.00,0.00,0.02,97.00,0.29,0.03,210.00,0.63,0.03,22.00,0.07,0.02,3.00,0.01,0.03
VERACRUZ,38.00,0.30,0.01,83.00,0.66,0.01,5.00,0.04,0.01,0.00,0.00,0.00,38.00,0.30,0.01,84.00,0.67,0.01,4.00,0.03,0.01,0.00,0.00,0.00,49.00,0.39,0.01,63.00,0.50,0.01,12.00,0.10,0.01,2.00,0.02,0.01,44.00,0.35,0.01,74.00,0.59,0.01,8.00,0.06,0.01,0.00,0.00,0.00,45.00,0.36,0.01,76.00,0.60,0.01,4.00,0.03,0.01,1.00,0.01,0.01,45.00,0.36,0.01,75.00,0.60,0.01,6.00,0.05,0.01,0.00,0.00,0.00,35.00,0.28,0.01,82.00,0.65,0.01,7.00,0.06,0.01,2.00,0.02,0.03,29.00,0.23,0.01,86.00,0.68,0.01,10.00,0.08,0.01,1.00,0.01,0.01
YUCATÁN,101.00,0.39,0.03,144.00,0.55,0.02,13.00,0.05,0.02,2.00,0.01,0.05,93.00,0.36,0.03,155.00,0.60,0.02,11.00,0.04,0.02,1.00,0.00,0.03,95.00,0.37,0.02,128.00,0.49,0.02,32.00,0.12,0.03,5.00,0.02,0.02,109.00,0.42,0.02,134.00,0.52,0.02,14.00,0.05,0.02,3.00,0.01,0.05,97.00,0.37,0.02,141.00,0.54,0.02,19.00,0.07,0.02,3.00,0.01,0.03,107.00,0.41,0.02,144.00,0.55,0.02,7.00,0.03,0.01,2.00,0.01,0.02,102.00,0.39,0.02,139.00,0.54,0.02,17.00,0.07,0.02,2.00,0.01,0.03,81.00,0.31,0.02,158.00,0.61,0.02,18.00,0.07,0.02,3.00,0.01,0.03
ZACATECAS,218.00,0.30,0.06,463.00,0.63,0.07,51.00,0.07,0.06,7.00,0.01,0.17,223.00,0.30,0.06,467.00,0.63,0.07,43.00,0.06,0.06,6.00,0.01,0.15,228.00,0.31,0.06,416.00,0.56,0.07,78.00,0.11,0.06,17.00,0.02,0.07,266.00,0.36,0.06,414.00,0.56,0.07,48.00,0.07,0.07,11.00,0.02,0.16,251.00,0.34,0.06,417.00,0.56,0.07,60.00,0.08,0.07,11.00,0.02,0.11,269.00,0.36,0.06,417.00,0.56,0.07,44.00,0.06,0.08,9.00,0.01,0.11,231.00,0.31,0.06,437.00,0.59,0.07,61.00,0.08,0.09,10.00,0.01,0.16,190.00,0.26,0.05,458.00,0.62,0.07,82.00,0.11,0.08,9.00,0.01,0.09
Hombre,1098.00,0.32,0.29,2086.00,0.61,0.31,241.00,0.07,0.29,13.00,0.00,0.31,1104.00,0.32,0.29,2122.00,0.62,0.31,203.00,0.06,0.30,9.00,0.00,0.23,1163.00,0.34,0.29,1842.00,0.54,0.31,353.00,0.10,0.28,80.00,0.02,0.34,1328.00,0.39,0.29,1878.00,0.55,0.31,212.00,0.06,0.30,19.00,0.01,0.28,1237.00,0.36,0.29,1938.00,0.56,0.32,231.00,0.07,0.27,32.00,0.01,0.32,1390.00,0.40,0.30,1854.00,0.54,0.30,169.00,0.05,0.29,25.00,0.01,0.30,1242.00,0.36,0.30,1986.00,0.58,0.31,194.00,0.06,0.28,16.00,0.01,0.25,1075.00,0.31,0.30,2074.00,0.60,0.31,254.00,0.07,0.25,35.00,0.01,0.35
Mujer,2695.00,0.34,0.71,4685.00,0.59,0.69,582.00,0.07,0.71,29.00,0.00,0.69,2647.00,0.33,0.71,4828.00,0.60,0.70,486.00,0.06,0.71,30.00,0.00,0.77,2917.00,0.37,0.72,4025.00,0.50,0.69,895.00,0.11,0.72,154.00,0.02,0.66,3215.00,0.40,0.71,4229.00,0.53,0.69,499.00,0.06,0.70,48.00,0.01,0.72,3106.00,0.39,0.72,4206.00,0.53,0.69,611.00,0.08,0.73,68.00,0.01,0.68,3282.00,0.41,0.70,4238.00,0.53,0.70,413.00,0.05,0.71,58.00,0.01,0.70,2941.00,0.37,0.70,4499.00,0.56,0.69,504.00,0.06,0.72,47.00,0.01,0.75,2486.00,0.31,0.70,4693.00,0.59,0.69,747.00,0.09,0.75,65.00,0.01,0.65
18 a 20 años,23.00,0.28,0.01,51.00,0.62,0.01,8.00,0.10,0.01,0.00,0.00,0.00,26.00,0.32,0.01,50.00,0.61,0.01,5.00,0.06,0.01,1.00,0.01,0.03,26.00,0.32,0.01,42.00,0.51,0.01,11.00,0.13,0.01,3.00,0.04,0.01,31.00,0.38,0.01,41.00,0.50,0.01,8.00,0.10,0.01,2.00,0.02,0.03,23.00,0.28,0.01,51.00,0.62,0.01,8.00,0.10,0.01,0.00,0.00,0.00,30.00,0.37,0.01,43.00,0.52,0.01,9.00,0.11,0.02,0.00,0.00,0.00,25.00,0.31,0.01,49.00,0.60,0.01,8.00,0.10,0.01,0.00,0.00,0.00,21.00,0.26,0.01,50.00,0.61,0.01,10.00,0.12,0.01,1.00,0.01,0.01
21 a 30 años,869.00,0.36,0.23,1373.00,0.58,0.20,136.00,0.06,0.17,7.00,0.00,0.17,900.00,0.38,0.24,1356.00,0.57,0.20,124.00,0.05,0.18,5.00,0.00,0.13,981.00,0.41,0.24,1144.00,0.48,0.20,226.00,0.10,0.18,34.00,0.01,0.15,1071.00,0.45,0.24,1171.00,0.49,0.19,134.00,0.06,0.19,9.00,0.00,0.13,1038.00,0.44,0.24,1194.00,0.50,0.19,136.00,0.06,0.16,17.00,0.01,0.17,1051.00,0.44,0.23,1207.00,0.51,0.20,113.00,0.05,0.19,14.00,0.01,0.17,962.00,0.40,0.23,1278.00,0.54,0.20,132.00,0.06,0.19,13.00,0.01,0.21,866.00,0.36,0.24,1323.00,0.56,0.20,180.00,0.08,0.18,16.00,0.01,0.16
31 a 40 años,1297.00,0.32,0.34,2421.00,0.60,0.36,304.00,0.08,0.37,17.00,0.00,0.41,1244.00,0.31,0.33,2521.00,0.62,0.36,260.00,0.06,0.38,14.00,0.00,0.36,1380.00,0.34,0.34,2144.00,0.53,0.37,421.00,0.10,0.34,94.00,0.02,0.40,1521.00,0.38,0.34,2219.00,0.55,0.36,273.00,0.07,0.38,25.00,0.01,0.37,1486.00,0.37,0.34,2208.00,0.55,0.36,309.00,0.08,0.37,36.00,0.01,0.36,1548.00,0.38,0.33,2225.00,0.55,0.37,233.00,0.06,0.40,33.00,0.01,0.40,1415.00,0.35,0.34,2352.00,0.58,0.36,252.00,0.06,0.36,20.00,0.01,0.32,1213.00,0.30,0.34,2451.00,0.61,0.36,337.00,0.08,0.34,38.00,0.01,0.38
41 a 50 años,1047.00,0.33,0.28,1872.00,0.59,0.28,258.00,0.08,0.31,15.00,0.01,0.36,1021.00,0.32,0.27,1968.00,0.62,0.28,186.00,0.06,0.27,17.00,0.01,0.44,1096.00,0.34,0.27,1628.00,0.51,0.28,397.00,0.12,0.32,71.00,0.02,0.30,1239.00,0.39,0.27,1730.00,0.54,0.28,196.00,0.06,0.28,27.00,0.01,0.40,1159.00,0.36,0.27,1743.00,0.55,0.28,253.00,0.08,0.30,37.00,0.01,0.37,1310.00,0.41,0.28,1693.00,0.53,0.28,163.00,0.05,0.28,26.00,0.01,0.31,1143.00,0.36,0.27,1824.00,0.57,0.28,198.00,0.06,0.28,27.00,0.01,0.43,940.00,0.29,0.26,1901.00,0.60,0.28,314.00,0.10,0.31,37.00,0.01,0.37
51 a 60 años,480.00,0.31,0.13,939.00,0.61,0.14,110.00,0.07,0.13,1.00,0.00,0.02,482.00,0.32,0.13,941.00,0.62,0.14,106.00,0.07,0.15,1.00,0.00,0.03,504.00,0.33,0.12,813.00,0.53,0.14,183.00,0.12,0.15,30.00,0.02,0.13,586.00,0.38,0.13,846.00,0.55,0.14,95.00,0.06,0.13,3.00,0.00,0.05,551.00,0.36,0.13,843.00,0.55,0.14,127.00,0.08,0.15,9.00,0.01,0.09,642.00,0.42,0.14,823.00,0.54,0.14,58.00,0.04,0.10,7.00,0.01,0.08,551.00,0.36,0.13,881.00,0.58,0.14,96.00,0.06,0.14,2.00,0.00,0.03,445.00,0.29,0.13,931.00,0.61,0.14,146.00,0.10,0.15,8.00,0.01,0.08
61 a 70 años,72.00,0.38,0.02,109.00,0.58,0.02,5.00,0.03,0.01,2.00,0.01,0.05,72.00,0.38,0.02,109.00,0.58,0.02,6.00,0.03,0.01,1.00,0.01,0.03,85.00,0.45,0.02,92.00,0.49,0.02,9.00,0.05,0.01,2.00,0.01,0.01,87.00,0.46,0.02,95.00,0.51,0.02,5.00,0.03,0.01,1.00,0.01,0.02,77.00,0.41,0.02,101.00,0.54,0.02,9.00,0.05,0.01,1.00,0.01,0.01,83.00,0.44,0.02,97.00,0.52,0.02,6.00,0.03,0.01,2.00,0.01,0.02,79.00,0.42,0.02,97.00,0.52,0.02,11.00,0.06,0.02,1.00,0.01,0.02,70.00,0.37,0.02,105.00,0.56,0.02,13.00,0.07,0.01,0.00,0.00,0.00
71 a 80 años,5.00,0.39,0.00,6.00,0.46,0.00,2.00,0.15,0.00,0.00,0.00,0.00,6.00,0.46,0.00,5.00,0.39,0.00,2.00,0.15,0.00,0.00,0.00,0.00,8.00,0.62,0.00,4.00,0.31,0.00,1.00,0.08,0.00,0.00,0.00,0.00,8.00,0.62,0.00,5.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.69,0.00,4.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.62,0.00,4.00,0.31,0.00,0.00,0.00,0.00,1.00,0.08,0.01,8.00,0.62,0.00,4.00,0.31,0.00,1.00,0.08,0.00,0.00,0.00,0.00,6.00,0.46,0.00,6.00,0.46,0.00,1.00,0.08,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",7.00,0.19,0.00,26.00,0.72,0.00,3.00,0.08,0.00,0.00,0.00,0.00,9.00,0.25,0.00,23.00,0.64,0.00,4.00,0.11,0.01,0.00,0.00,0.00,10.00,0.28,0.00,21.00,0.58,0.00,3.00,0.08,0.00,2.00,0.06,0.01,12.00,0.33,0.00,20.00,0.56,0.00,4.00,0.11,0.01,0.00,0.00,0.00,7.00,0.19,0.00,25.00,0.69,0.00,4.00,0.11,0.01,0.00,0.00,0.00,12.00,0.33,0.00,20.00,0.56,0.00,3.00,0.08,0.01,1.00,0.03,0.01,7.00,0.19,0.00,25.00,0.69,0.00,4.00,0.11,0.01,0.00,0.00,0.00,9.00,0.25,0.00,23.00,0.64,0.00,4.00,0.11,0.00,0.00,0.00,0.00
Normal básica sin licenciatura,135.00,0.29,0.04,285.00,0.62,0.04,39.00,0.09,0.05,0.00,0.00,0.00,139.00,0.30,0.04,288.00,0.63,0.04,31.00,0.07,0.05,1.00,0.00,0.03,168.00,0.37,0.04,228.00,0.50,0.04,54.00,0.12,0.04,9.00,0.02,0.04,177.00,0.39,0.04,253.00,0.55,0.04,28.00,0.06,0.04,1.00,0.00,0.02,171.00,0.37,0.04,257.00,0.56,0.04,30.00,0.07,0.04,1.00,0.00,0.01,191.00,0.42,0.04,251.00,0.55,0.04,17.00,0.04,0.03,0.00,0.00,0.00,165.00,0.36,0.04,260.00,0.57,0.04,34.00,0.07,0.05,0.00,0.00,0.00,127.00,0.28,0.04,291.00,0.63,0.04,41.00,0.09,0.04,0.00,0.00,0.00
Normal superior,81.00,0.34,0.02,129.00,0.55,0.02,25.00,0.11,0.03,1.00,0.00,0.02,71.00,0.30,0.02,145.00,0.61,0.02,19.00,0.08,0.03,1.00,0.00,0.03,83.00,0.35,0.02,123.00,0.52,0.02,28.00,0.12,0.02,2.00,0.01,0.01,94.00,0.40,0.02,124.00,0.53,0.02,17.00,0.07,0.02,1.00,0.00,0.02,91.00,0.39,0.02,127.00,0.54,0.02,18.00,0.08,0.02,0.00,0.00,0.00,97.00,0.41,0.02,123.00,0.52,0.02,16.00,0.07,0.03,0.00,0.00,0.00,88.00,0.37,0.02,131.00,0.56,0.02,17.00,0.07,0.02,0.00,0.00,0.00,68.00,0.29,0.02,143.00,0.61,0.02,25.00,0.11,0.03,0.00,0.00,0.00
Normal Intercultural Bilingüe,36.00,0.34,0.01,66.00,0.62,0.01,4.00,0.04,0.01,0.00,0.00,0.00,36.00,0.34,0.01,67.00,0.63,0.01,3.00,0.03,0.00,0.00,0.00,0.00,44.00,0.42,0.01,50.00,0.47,0.01,11.00,0.10,0.01,1.00,0.01,0.00,44.00,0.42,0.01,56.00,0.53,0.01,6.00,0.06,0.01,0.00,0.00,0.00,44.00,0.42,0.01,56.00,0.53,0.01,6.00,0.06,0.01,0.00,0.00,0.00,45.00,0.43,0.01,58.00,0.55,0.01,3.00,0.03,0.01,0.00,0.00,0.00,47.00,0.44,0.01,56.00,0.53,0.01,3.00,0.03,0.00,0.00,0.00,0.00,42.00,0.40,0.01,60.00,0.57,0.01,3.00,0.03,0.00,1.00,0.01,0.01
Licenciatura,2751.00,0.32,0.73,5170.00,0.60,0.76,628.00,0.07,0.76,26.00,0.00,0.62,2736.00,0.32,0.73,5316.00,0.62,0.77,500.00,0.06,0.73,23.00,0.00,0.59,2993.00,0.35,0.73,4480.00,0.52,0.76,934.00,0.11,0.75,168.00,0.02,0.72,3355.00,0.39,0.74,4642.00,0.54,0.76,534.00,0.06,0.75,43.00,0.01,0.64,3209.00,0.37,0.74,4677.00,0.55,0.76,625.00,0.07,0.74,64.00,0.01,0.64,3421.00,0.40,0.73,4662.00,0.54,0.77,437.00,0.05,0.75,55.00,0.01,0.66,3055.00,0.36,0.73,4969.00,0.58,0.77,508.00,0.06,0.73,43.00,0.01,0.68,2600.00,0.30,0.73,5151.00,0.60,0.76,755.00,0.09,0.75,69.00,0.01,0.69
Especialidad,32.00,0.43,0.01,38.00,0.51,0.01,5.00,0.07,0.01,0.00,0.00,0.00,34.00,0.45,0.01,36.00,0.48,0.01,5.00,0.07,0.01,0.00,0.00,0.00,28.00,0.37,0.01,35.00,0.47,0.01,9.00,0.12,0.01,3.00,0.04,0.01,34.00,0.45,0.01,35.00,0.47,0.01,4.00,0.05,0.01,2.00,0.03,0.03,38.00,0.51,0.01,29.00,0.39,0.01,6.00,0.08,0.01,2.00,0.03,0.02,39.00,0.52,0.01,33.00,0.44,0.01,2.00,0.03,0.00,1.00,0.01,0.01,34.00,0.45,0.01,38.00,0.51,0.01,3.00,0.04,0.00,0.00,0.00,0.00,33.00,0.44,0.01,37.00,0.49,0.01,4.00,0.05,0.00,1.00,0.01,0.01
Maestría,674.00,0.38,0.18,980.00,0.55,0.15,113.00,0.06,0.14,13.00,0.01,0.31,653.00,0.37,0.17,996.00,0.56,0.14,118.00,0.07,0.17,13.00,0.01,0.33,681.00,0.38,0.17,864.00,0.49,0.15,194.00,0.11,0.16,41.00,0.02,0.18,744.00,0.42,0.16,913.00,0.51,0.15,107.00,0.06,0.15,16.00,0.01,0.24,708.00,0.40,0.16,902.00,0.51,0.15,142.00,0.08,0.17,28.00,0.02,0.28,789.00,0.44,0.17,875.00,0.49,0.14,93.00,0.05,0.16,23.00,0.01,0.28,712.00,0.40,0.17,931.00,0.52,0.14,119.00,0.07,0.17,18.00,0.01,0.29,611.00,0.34,0.17,986.00,0.55,0.15,158.00,0.09,0.16,25.00,0.01,0.25
Doctorado,75.00,0.48,0.02,72.00,0.47,0.01,6.00,0.04,0.01,2.00,0.01,0.05,68.00,0.44,0.02,77.00,0.50,0.01,9.00,0.06,0.01,1.00,0.01,0.03,71.00,0.46,0.02,62.00,0.40,0.01,14.00,0.09,0.01,8.00,0.05,0.03,80.00,0.52,0.02,61.00,0.39,0.01,10.00,0.07,0.01,4.00,0.03,0.06,72.00,0.47,0.02,67.00,0.43,0.01,11.00,0.07,0.01,5.00,0.03,0.05,72.00,0.47,0.02,69.00,0.45,0.01,11.00,0.07,0.02,3.00,0.02,0.04,71.00,0.46,0.02,72.00,0.47,0.01,10.00,0.07,0.01,2.00,0.01,0.03,66.00,0.43,0.02,74.00,0.48,0.01,11.00,0.07,0.01,4.00,0.03,0.04
Posdoctorado,2.00,0.29,0.00,5.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.71,0.00,2.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.29,0.00,4.00,0.57,0.00,1.00,0.14,0.00,0.00,0.00,0.00,3.00,0.43,0.00,3.00,0.43,0.00,1.00,0.14,0.00,0.00,0.00,0.00,3.00,0.43,0.00,4.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.86,0.00,1.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,0.00,3.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.71,0.00,2.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Menor o igual a 10,1491.00,0.35,0.39,2450.00,0.58,0.36,268.00,0.06,0.33,15.00,0.00,0.36,1488.00,0.35,0.40,2486.00,0.59,0.36,236.00,0.06,0.34,14.00,0.00,0.36,1661.00,0.39,0.41,2082.00,0.49,0.36,409.00,0.10,0.33,72.00,0.02,0.31,1808.00,0.43,0.40,2157.00,0.51,0.35,238.00,0.06,0.34,20.00,0.01,0.30,1778.00,0.42,0.41,2147.00,0.51,0.35,271.00,0.06,0.32,28.00,0.01,0.28,1787.00,0.42,0.38,2201.00,0.52,0.36,203.00,0.05,0.35,33.00,0.01,0.40,1650.00,0.39,0.39,2304.00,0.55,0.36,247.00,0.06,0.35,23.00,0.01,0.37,1457.00,0.35,0.41,2399.00,0.57,0.36,337.00,0.08,0.34,31.00,0.01,0.31
11 a 20,1212.00,0.31,0.32,2321.00,0.60,0.34,305.00,0.08,0.37,18.00,0.01,0.43,1173.00,0.30,0.31,2423.00,0.63,0.35,245.00,0.06,0.36,15.00,0.00,0.39,1276.00,0.33,0.31,2046.00,0.53,0.35,434.00,0.11,0.35,100.00,0.03,0.43,1428.00,0.37,0.31,2132.00,0.55,0.35,264.00,0.07,0.37,32.00,0.01,0.48,1361.00,0.35,0.31,2143.00,0.56,0.35,307.00,0.08,0.37,45.00,0.01,0.45,1463.00,0.38,0.31,2140.00,0.56,0.35,221.00,0.06,0.38,32.00,0.01,0.39,1303.00,0.34,0.31,2294.00,0.60,0.35,237.00,0.06,0.34,22.00,0.01,0.35,1104.00,0.29,0.31,2359.00,0.61,0.35,355.00,0.09,0.36,38.00,0.01,0.38
21 a 30,1090.00,0.33,0.29,2000.00,0.60,0.30,250.00,0.08,0.30,9.00,0.00,0.21,1090.00,0.33,0.29,2041.00,0.61,0.29,208.00,0.06,0.30,10.00,0.00,0.26,1143.00,0.34,0.28,1739.00,0.52,0.30,405.00,0.12,0.33,62.00,0.02,0.27,1307.00,0.39,0.29,1818.00,0.54,0.30,209.00,0.06,0.29,15.00,0.00,0.22,1204.00,0.36,0.28,1854.00,0.55,0.30,264.00,0.08,0.31,27.00,0.01,0.27,1422.00,0.43,0.30,1751.00,0.52,0.29,158.00,0.05,0.27,18.00,0.01,0.22,1230.00,0.37,0.29,1887.00,0.56,0.29,214.00,0.06,0.31,18.00,0.01,0.29,1000.00,0.30,0.28,2009.00,0.60,0.30,309.00,0.09,0.31,31.00,0.01,0.31
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
