Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,22503.00,0.81,0.94,5149.00,0.19,0.94,23680.00,0.86,0.94,3975.00,0.14,0.93,23024.00,0.83,0.94,4631.00,0.17,0.94,16892.00,0.61,0.93,10762.00,0.39,0.95,25205.00,0.91,0.94,2448.00,0.09,0.94,25255.00,0.91,0.94,2396.00,0.09,0.93,20616.00,0.75,0.94,7035.00,0.25,0.95,18595.00,0.67,0.93,9056.00,0.33,0.95,23472.00,0.85,0.94,4179.00,0.15,0.94
Interino,838.00,0.82,0.04,180.00,0.18,0.03,870.00,0.86,0.03,148.00,0.15,0.04,858.00,0.84,0.04,160.00,0.16,0.03,706.00,0.69,0.04,312.00,0.31,0.03,946.00,0.93,0.04,72.00,0.07,0.03,922.00,0.91,0.03,96.00,0.09,0.04,800.00,0.79,0.04,218.00,0.21,0.03,785.00,0.77,0.04,233.00,0.23,0.02,884.00,0.87,0.04,134.00,0.13,0.03
Tiempo fijo,374.00,0.83,0.02,75.00,0.17,0.01,383.00,0.85,0.02,66.00,0.15,0.02,383.00,0.85,0.02,66.00,0.15,0.01,303.00,0.68,0.02,146.00,0.33,0.01,414.00,0.92,0.02,35.00,0.08,0.01,407.00,0.91,0.02,42.00,0.09,0.02,361.00,0.80,0.02,88.00,0.20,0.01,341.00,0.76,0.02,108.00,0.24,0.01,387.00,0.86,0.02,62.00,0.14,0.01
No tengo nombramiento,37.00,0.74,0.00,13.00,0.26,0.00,40.00,0.80,0.00,10.00,0.20,0.00,39.00,0.78,0.00,11.00,0.22,0.00,33.00,0.66,0.00,17.00,0.34,0.00,46.00,0.92,0.00,4.00,0.08,0.00,39.00,0.78,0.00,11.00,0.22,0.00,35.00,0.70,0.00,15.00,0.30,0.00,36.00,0.72,0.00,14.00,0.28,0.00,43.00,0.86,0.00,7.00,0.14,0.00
Otro,239.00,0.79,0.01,62.00,0.21,0.01,246.00,0.82,0.01,55.00,0.18,0.01,240.00,0.80,0.01,61.00,0.20,0.01,177.00,0.59,0.01,124.00,0.41,0.01,263.00,0.87,0.01,38.00,0.13,0.02,259.00,0.86,0.01,42.00,0.14,0.02,215.00,0.71,0.01,86.00,0.29,0.01,201.00,0.67,0.01,100.00,0.33,0.01,252.00,0.84,0.01,49.00,0.16,0.01
GENERAL PÚBLICA,11426.00,0.80,0.48,2828.00,0.20,0.52,12070.00,0.85,0.48,2185.00,0.15,0.51,11731.00,0.82,0.48,2524.00,0.18,0.51,8800.00,0.62,0.49,5454.00,0.38,0.48,12930.00,0.91,0.48,1323.00,0.09,0.51,12927.00,0.91,0.48,1327.00,0.09,0.51,10533.00,0.74,0.48,3720.00,0.26,0.50,9566.00,0.67,0.48,4686.00,0.33,0.49,12050.00,0.85,0.48,2203.00,0.16,0.50
TÉCNICA,9989.00,0.81,0.42,2329.00,0.19,0.43,10547.00,0.86,0.42,1773.00,0.14,0.42,10263.00,0.83,0.42,2057.00,0.17,0.42,7373.00,0.60,0.41,4947.00,0.40,0.44,11281.00,0.92,0.42,1039.00,0.08,0.40,11245.00,0.91,0.42,1072.00,0.09,0.41,9180.00,0.75,0.42,3138.00,0.26,0.42,8297.00,0.67,0.42,4022.00,0.33,0.42,10483.00,0.85,0.42,1836.00,0.15,0.41
TELESECUNDARIA,2578.00,0.89,0.11,322.00,0.11,0.06,2604.00,0.90,0.10,296.00,0.10,0.07,2552.00,0.88,0.10,348.00,0.12,0.07,1938.00,0.67,0.11,962.00,0.33,0.09,2664.00,0.92,0.10,236.00,0.08,0.09,2712.00,0.94,0.10,188.00,0.07,0.07,2315.00,0.80,0.11,585.00,0.20,0.08,2096.00,0.72,0.11,804.00,0.28,0.09,2507.00,0.87,0.10,392.00,0.14,0.09
Total,23993.00,0.81,1.00,5479.00,0.19,1.00,25221.00,0.86,1.00,4254.00,0.14,1.00,24546.00,0.83,1.00,4929.00,0.17,1.00,18111.00,0.61,1.00,11363.00,0.39,1.00,26875.00,0.91,1.00,2598.00,0.09,1.00,26884.00,0.91,1.00,2587.00,0.09,1.00,22028.00,0.75,1.00,7443.00,0.25,1.00,19959.00,0.68,1.00,9512.00,0.32,1.00,25040.00,0.85,1.00,4431.00,0.15,1.00
