Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
QUINTANA ROO,98.00,0.58,0.04,66.00,0.39,0.04,6.00,0.04,0.05,0.00,0.00,0.00,101.00,0.59,0.04,62.00,0.37,0.04,7.00,0.04,0.04,0.00,0.00,0.00,96.00,0.57,0.04,71.00,0.42,0.05,3.00,0.02,0.04,0.00,0.00,0.00,86.00,0.51,0.04,78.00,0.46,0.05,6.00,0.04,0.05,0.00,0.00,0.00,92.00,0.54,0.04,65.00,0.38,0.04,13.00,0.08,0.05,0.00,0.00,0.00,79.00,0.47,0.04,90.00,0.53,0.05,1.00,0.01,0.01,0.00,0.00,0.00,98.00,0.58,0.04,68.00,0.40,0.04,4.00,0.02,0.04,0.00,0.00,0.00,93.00,0.55,0.04,71.00,0.42,0.04,6.00,0.04,0.04,0.00,0.00,0.00,100.00,0.59,0.04,65.00,0.38,0.04,5.00,0.03,0.05,0.00,0.00,0.00
SAN LUIS POTOSÍ,108.00,0.64,0.04,58.00,0.34,0.04,3.00,0.02,0.03,0.00,0.00,0.00,101.00,0.60,0.04,62.00,0.37,0.04,5.00,0.03,0.03,1.00,0.01,0.04,110.00,0.65,0.04,57.00,0.34,0.04,2.00,0.01,0.03,0.00,0.00,0.00,92.00,0.54,0.04,75.00,0.44,0.04,2.00,0.01,0.02,0.00,0.00,0.00,96.00,0.57,0.04,63.00,0.37,0.04,10.00,0.06,0.04,0.00,0.00,0.00,87.00,0.52,0.04,79.00,0.47,0.04,3.00,0.02,0.03,0.00,0.00,0.00,97.00,0.57,0.04,70.00,0.41,0.04,2.00,0.01,0.02,0.00,0.00,0.00,91.00,0.54,0.04,75.00,0.44,0.05,3.00,0.02,0.02,0.00,0.00,0.00,109.00,0.65,0.04,57.00,0.34,0.04,3.00,0.02,0.03,0.00,0.00,0.00
SINALOA,121.00,0.63,0.05,64.00,0.34,0.04,6.00,0.03,0.05,0.00,0.00,0.00,121.00,0.63,0.05,66.00,0.35,0.04,4.00,0.02,0.02,0.00,0.00,0.00,126.00,0.66,0.05,61.00,0.32,0.04,4.00,0.02,0.06,0.00,0.00,0.00,115.00,0.60,0.05,69.00,0.36,0.04,7.00,0.04,0.05,0.00,0.00,0.00,112.00,0.59,0.05,68.00,0.36,0.04,9.00,0.05,0.04,2.00,0.01,0.06,106.00,0.56,0.05,81.00,0.42,0.04,4.00,0.02,0.04,0.00,0.00,0.00,112.00,0.59,0.05,76.00,0.40,0.05,3.00,0.02,0.03,0.00,0.00,0.00,115.00,0.60,0.05,71.00,0.37,0.04,5.00,0.03,0.04,0.00,0.00,0.00,120.00,0.63,0.05,65.00,0.34,0.04,6.00,0.03,0.05,0.00,0.00,0.00
SONORA,98.00,0.67,0.04,43.00,0.29,0.03,5.00,0.03,0.04,1.00,0.01,0.06,92.00,0.63,0.04,50.00,0.34,0.03,3.00,0.02,0.02,2.00,0.01,0.08,97.00,0.66,0.04,49.00,0.33,0.03,1.00,0.01,0.01,0.00,0.00,0.00,88.00,0.60,0.04,56.00,0.38,0.03,3.00,0.02,0.02,0.00,0.00,0.00,78.00,0.53,0.03,56.00,0.38,0.04,10.00,0.07,0.04,3.00,0.02,0.09,85.00,0.58,0.04,59.00,0.40,0.03,3.00,0.02,0.03,0.00,0.00,0.00,95.00,0.65,0.04,48.00,0.33,0.03,4.00,0.03,0.04,0.00,0.00,0.00,96.00,0.65,0.04,47.00,0.32,0.03,4.00,0.03,0.03,0.00,0.00,0.00,98.00,0.67,0.04,47.00,0.32,0.03,2.00,0.01,0.02,0.00,0.00,0.00
TABASCO,74.00,0.57,0.03,54.00,0.42,0.04,2.00,0.02,0.02,0.00,0.00,0.00,82.00,0.63,0.03,46.00,0.35,0.03,2.00,0.02,0.01,0.00,0.00,0.00,74.00,0.57,0.03,55.00,0.42,0.04,1.00,0.01,0.01,0.00,0.00,0.00,78.00,0.60,0.03,46.00,0.35,0.03,5.00,0.04,0.04,1.00,0.01,0.14,73.00,0.56,0.03,53.00,0.41,0.03,4.00,0.03,0.02,0.00,0.00,0.00,66.00,0.51,0.03,62.00,0.48,0.03,2.00,0.02,0.02,0.00,0.00,0.00,74.00,0.57,0.03,54.00,0.42,0.03,2.00,0.02,0.02,0.00,0.00,0.00,73.00,0.56,0.03,55.00,0.42,0.03,1.00,0.01,0.01,1.00,0.01,0.06,86.00,0.66,0.03,43.00,0.33,0.03,1.00,0.01,0.01,0.00,0.00,0.00
TAMAULIPAS,77.00,0.51,0.03,71.00,0.47,0.05,3.00,0.02,0.03,0.00,0.00,0.00,76.00,0.50,0.03,69.00,0.46,0.04,6.00,0.04,0.03,0.00,0.00,0.00,86.00,0.57,0.03,64.00,0.42,0.04,1.00,0.01,0.01,0.00,0.00,0.00,71.00,0.47,0.03,71.00,0.47,0.04,8.00,0.05,0.06,1.00,0.01,0.14,78.00,0.52,0.03,65.00,0.43,0.04,8.00,0.05,0.03,0.00,0.00,0.00,70.00,0.46,0.03,78.00,0.52,0.04,3.00,0.02,0.03,0.00,0.00,0.00,78.00,0.52,0.03,69.00,0.46,0.04,4.00,0.03,0.04,0.00,0.00,0.00,73.00,0.48,0.03,72.00,0.48,0.04,6.00,0.04,0.04,0.00,0.00,0.00,76.00,0.50,0.03,70.00,0.46,0.04,5.00,0.03,0.05,0.00,0.00,0.00
TLAXCALA,91.00,0.58,0.04,63.00,0.40,0.04,3.00,0.02,0.03,0.00,0.00,0.00,90.00,0.57,0.04,62.00,0.40,0.04,4.00,0.03,0.02,1.00,0.01,0.04,90.00,0.57,0.03,63.00,0.40,0.04,4.00,0.03,0.06,0.00,0.00,0.00,87.00,0.55,0.04,68.00,0.43,0.04,2.00,0.01,0.02,0.00,0.00,0.00,83.00,0.53,0.04,63.00,0.40,0.04,8.00,0.05,0.03,3.00,0.02,0.09,80.00,0.51,0.04,75.00,0.48,0.04,2.00,0.01,0.02,0.00,0.00,0.00,93.00,0.59,0.04,62.00,0.40,0.04,2.00,0.01,0.02,0.00,0.00,0.00,83.00,0.53,0.03,69.00,0.44,0.04,5.00,0.03,0.04,0.00,0.00,0.00,87.00,0.55,0.03,64.00,0.41,0.04,5.00,0.03,0.05,1.00,0.01,0.06
VERACRUZ,67.00,0.60,0.03,42.00,0.38,0.03,3.00,0.03,0.03,0.00,0.00,0.00,60.00,0.54,0.02,45.00,0.40,0.03,6.00,0.05,0.03,1.00,0.01,0.04,56.00,0.50,0.02,54.00,0.48,0.04,1.00,0.01,0.01,1.00,0.01,0.08,56.00,0.50,0.02,52.00,0.46,0.03,4.00,0.04,0.03,0.00,0.00,0.00,61.00,0.55,0.03,44.00,0.39,0.03,5.00,0.05,0.02,2.00,0.02,0.06,50.00,0.45,0.02,58.00,0.52,0.03,4.00,0.04,0.04,0.00,0.00,0.00,61.00,0.55,0.03,46.00,0.41,0.03,4.00,0.04,0.04,1.00,0.01,0.09,60.00,0.54,0.03,46.00,0.41,0.03,4.00,0.04,0.03,2.00,0.02,0.11,58.00,0.52,0.02,49.00,0.44,0.03,5.00,0.05,0.05,0.00,0.00,0.00
YUCATÁN,56.00,0.55,0.02,43.00,0.43,0.03,2.00,0.02,0.02,0.00,0.00,0.00,53.00,0.53,0.02,41.00,0.41,0.03,7.00,0.07,0.04,0.00,0.00,0.00,56.00,0.55,0.02,43.00,0.43,0.03,2.00,0.02,0.03,0.00,0.00,0.00,48.00,0.48,0.02,49.00,0.49,0.03,4.00,0.04,0.03,0.00,0.00,0.00,52.00,0.52,0.02,43.00,0.43,0.03,6.00,0.06,0.02,0.00,0.00,0.00,45.00,0.45,0.02,51.00,0.51,0.03,5.00,0.05,0.05,0.00,0.00,0.00,54.00,0.54,0.02,44.00,0.44,0.03,3.00,0.03,0.03,0.00,0.00,0.00,54.00,0.54,0.02,44.00,0.44,0.03,2.00,0.02,0.02,1.00,0.01,0.06,52.00,0.52,0.02,47.00,0.47,0.03,2.00,0.02,0.02,0.00,0.00,0.00
ZACATECAS,112.00,0.60,0.04,73.00,0.39,0.05,1.00,0.01,0.01,1.00,0.01,0.06,101.00,0.54,0.04,82.00,0.44,0.05,3.00,0.02,0.02,1.00,0.01,0.04,120.00,0.64,0.05,65.00,0.35,0.04,1.00,0.01,0.01,1.00,0.01,0.08,112.00,0.60,0.05,72.00,0.39,0.04,3.00,0.02,0.02,0.00,0.00,0.00,95.00,0.51,0.04,81.00,0.43,0.05,11.00,0.06,0.05,0.00,0.00,0.00,98.00,0.52,0.04,85.00,0.46,0.05,4.00,0.02,0.04,0.00,0.00,0.00,112.00,0.60,0.05,69.00,0.37,0.04,6.00,0.03,0.06,0.00,0.00,0.00,101.00,0.54,0.04,81.00,0.43,0.05,5.00,0.03,0.04,0.00,0.00,0.00,111.00,0.59,0.04,72.00,0.39,0.05,4.00,0.02,0.04,0.00,0.00,0.00
Hombre,1119.00,0.60,0.43,685.00,0.37,0.44,42.00,0.02,0.37,7.00,0.00,0.44,1107.00,0.60,0.44,681.00,0.37,0.44,59.00,0.03,0.33,6.00,0.00,0.25,1152.00,0.62,0.44,670.00,0.36,0.44,28.00,0.02,0.38,3.00,0.00,0.23,1044.00,0.56,0.44,767.00,0.41,0.44,39.00,0.02,0.30,3.00,0.00,0.43,1040.00,0.56,0.44,716.00,0.39,0.45,92.00,0.05,0.37,5.00,0.00,0.16,966.00,0.52,0.43,840.00,0.45,0.44,44.00,0.02,0.41,3.00,0.00,0.33,1087.00,0.59,0.44,719.00,0.39,0.43,43.00,0.02,0.42,4.00,0.00,0.36,1061.00,0.57,0.44,736.00,0.40,0.44,51.00,0.03,0.38,5.00,0.00,0.28,1124.00,0.61,0.44,681.00,0.37,0.43,44.00,0.02,0.40,4.00,0.00,0.25
Mujer,1458.00,0.61,0.57,862.00,0.36,0.56,71.00,0.03,0.63,9.00,0.00,0.56,1388.00,0.58,0.56,875.00,0.37,0.56,119.00,0.05,0.67,18.00,0.01,0.75,1478.00,0.62,0.56,867.00,0.36,0.56,45.00,0.02,0.62,10.00,0.00,0.77,1322.00,0.55,0.56,981.00,0.41,0.56,93.00,0.04,0.71,4.00,0.00,0.57,1325.00,0.55,0.56,893.00,0.37,0.56,155.00,0.07,0.63,27.00,0.01,0.84,1274.00,0.53,0.57,1057.00,0.44,0.56,63.00,0.03,0.59,6.00,0.00,0.67,1394.00,0.58,0.56,940.00,0.39,0.57,59.00,0.03,0.58,7.00,0.00,0.64,1359.00,0.57,0.56,944.00,0.39,0.56,84.00,0.04,0.62,13.00,0.01,0.72,1425.00,0.59,0.56,896.00,0.37,0.57,67.00,0.03,0.60,12.00,0.01,0.75
18 a 20 años,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.30,0.00,7.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.20,0.00,8.00,0.80,0.01,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.30,0.00,7.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.20,0.00,8.00,0.80,0.01,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.30,0.00,7.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 a 30 años,141.00,0.69,0.06,56.00,0.27,0.04,7.00,0.03,0.06,1.00,0.01,0.06,139.00,0.68,0.06,54.00,0.26,0.04,11.00,0.05,0.06,1.00,0.01,0.04,132.00,0.64,0.05,66.00,0.32,0.04,6.00,0.03,0.08,1.00,0.01,0.08,124.00,0.61,0.05,74.00,0.36,0.04,7.00,0.03,0.05,0.00,0.00,0.00,132.00,0.64,0.06,56.00,0.27,0.04,15.00,0.07,0.06,2.00,0.01,0.06,110.00,0.54,0.05,89.00,0.43,0.05,6.00,0.03,0.06,0.00,0.00,0.00,127.00,0.62,0.05,74.00,0.36,0.05,4.00,0.02,0.04,0.00,0.00,0.00,123.00,0.60,0.05,75.00,0.37,0.05,7.00,0.03,0.05,0.00,0.00,0.00,127.00,0.62,0.05,72.00,0.35,0.05,6.00,0.03,0.05,0.00,0.00,0.00
31 a 40 años,581.00,0.59,0.23,387.00,0.39,0.25,21.00,0.02,0.19,4.00,0.00,0.25,552.00,0.56,0.22,393.00,0.40,0.25,41.00,0.04,0.23,7.00,0.01,0.29,595.00,0.60,0.23,377.00,0.38,0.25,17.00,0.02,0.23,4.00,0.00,0.31,534.00,0.54,0.23,420.00,0.42,0.24,36.00,0.04,0.27,3.00,0.00,0.43,534.00,0.54,0.23,384.00,0.39,0.24,65.00,0.07,0.26,10.00,0.01,0.31,522.00,0.53,0.23,442.00,0.45,0.23,27.00,0.03,0.25,2.00,0.00,0.22,560.00,0.56,0.23,407.00,0.41,0.25,24.00,0.02,0.24,2.00,0.00,0.18,541.00,0.55,0.22,417.00,0.42,0.25,31.00,0.03,0.23,4.00,0.00,0.22,578.00,0.58,0.23,379.00,0.38,0.24,31.00,0.03,0.28,5.00,0.01,0.31
41 a 50 años,780.00,0.62,0.30,441.00,0.35,0.29,32.00,0.03,0.28,5.00,0.00,0.31,740.00,0.59,0.30,458.00,0.36,0.29,53.00,0.04,0.30,7.00,0.01,0.29,784.00,0.62,0.30,450.00,0.36,0.29,21.00,0.02,0.29,3.00,0.00,0.23,702.00,0.56,0.30,512.00,0.41,0.29,43.00,0.03,0.33,1.00,0.00,0.14,703.00,0.56,0.30,475.00,0.38,0.30,71.00,0.06,0.29,9.00,0.01,0.28,641.00,0.51,0.29,572.00,0.46,0.30,42.00,0.03,0.39,3.00,0.00,0.33,740.00,0.59,0.30,480.00,0.38,0.29,34.00,0.03,0.33,4.00,0.00,0.36,701.00,0.56,0.29,506.00,0.40,0.30,43.00,0.03,0.32,8.00,0.01,0.44,745.00,0.59,0.29,478.00,0.38,0.30,30.00,0.02,0.27,5.00,0.00,0.31
51 a 60 años,746.00,0.59,0.29,468.00,0.37,0.30,42.00,0.03,0.37,5.00,0.00,0.31,742.00,0.59,0.30,460.00,0.37,0.30,52.00,0.04,0.29,7.00,0.01,0.29,784.00,0.62,0.30,454.00,0.36,0.30,19.00,0.02,0.26,4.00,0.00,0.31,709.00,0.56,0.30,516.00,0.41,0.30,33.00,0.03,0.25,3.00,0.00,0.43,675.00,0.54,0.29,502.00,0.40,0.31,76.00,0.06,0.31,8.00,0.01,0.25,670.00,0.53,0.30,568.00,0.45,0.30,21.00,0.02,0.20,2.00,0.00,0.22,723.00,0.57,0.29,506.00,0.40,0.31,30.00,0.02,0.29,2.00,0.00,0.18,730.00,0.58,0.30,489.00,0.39,0.29,41.00,0.03,0.30,1.00,0.00,0.06,751.00,0.60,0.30,473.00,0.38,0.30,35.00,0.03,0.32,2.00,0.00,0.13
61 a 70 años,283.00,0.61,0.11,169.00,0.36,0.11,11.00,0.02,0.10,1.00,0.00,0.06,278.00,0.60,0.11,163.00,0.35,0.11,21.00,0.05,0.12,2.00,0.00,0.08,287.00,0.62,0.11,166.00,0.36,0.11,10.00,0.02,0.14,1.00,0.00,0.08,254.00,0.55,0.11,198.00,0.43,0.11,12.00,0.03,0.09,0.00,0.00,0.00,277.00,0.60,0.12,164.00,0.35,0.10,20.00,0.04,0.08,3.00,0.01,0.09,256.00,0.55,0.11,195.00,0.42,0.10,11.00,0.02,0.10,2.00,0.00,0.22,285.00,0.61,0.12,166.00,0.36,0.10,10.00,0.02,0.10,3.00,0.01,0.27,281.00,0.61,0.12,165.00,0.36,0.10,13.00,0.03,0.10,5.00,0.01,0.28,303.00,0.65,0.12,148.00,0.32,0.09,9.00,0.02,0.08,4.00,0.01,0.25
71 a 80 años,40.00,0.65,0.02,22.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.66,0.02,21.00,0.34,0.01,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.71,0.02,18.00,0.29,0.01,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.63,0.02,22.00,0.36,0.01,1.00,0.02,0.01,0.00,0.00,0.00,42.00,0.68,0.02,20.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.61,0.02,24.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.68,0.02,20.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.68,0.02,20.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.68,0.02,20.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",11.00,0.61,0.00,7.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.72,0.01,5.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.67,0.01,6.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.67,0.01,6.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.67,0.01,6.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.67,0.01,6.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.61,0.00,7.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.56,0.00,8.00,0.44,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.50,0.00,9.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Normal básica sin licenciatura,35.00,0.41,0.01,48.00,0.56,0.03,2.00,0.02,0.02,1.00,0.01,0.06,44.00,0.51,0.02,39.00,0.45,0.03,3.00,0.04,0.02,0.00,0.00,0.00,38.00,0.44,0.01,47.00,0.55,0.03,1.00,0.01,0.01,0.00,0.00,0.00,36.00,0.42,0.02,48.00,0.56,0.03,2.00,0.02,0.02,0.00,0.00,0.00,33.00,0.38,0.01,47.00,0.55,0.03,5.00,0.06,0.02,1.00,0.01,0.03,33.00,0.38,0.02,52.00,0.61,0.03,1.00,0.01,0.01,0.00,0.00,0.00,36.00,0.42,0.02,49.00,0.57,0.03,1.00,0.01,0.01,0.00,0.00,0.00,40.00,0.47,0.02,43.00,0.50,0.03,3.00,0.04,0.02,0.00,0.00,0.00,40.00,0.47,0.02,44.00,0.51,0.03,2.00,0.02,0.02,0.00,0.00,0.00
Normal superior,143.00,0.59,0.06,91.00,0.38,0.06,6.00,0.03,0.05,2.00,0.01,0.13,144.00,0.60,0.06,87.00,0.36,0.06,7.00,0.03,0.04,4.00,0.02,0.17,143.00,0.59,0.05,94.00,0.39,0.06,4.00,0.02,0.06,1.00,0.00,0.08,131.00,0.54,0.06,104.00,0.43,0.06,6.00,0.03,0.05,1.00,0.00,0.14,138.00,0.57,0.06,91.00,0.38,0.06,10.00,0.04,0.04,3.00,0.01,0.09,118.00,0.49,0.05,117.00,0.48,0.06,7.00,0.03,0.07,0.00,0.00,0.00,134.00,0.55,0.05,101.00,0.42,0.06,7.00,0.03,0.07,0.00,0.00,0.00,139.00,0.57,0.06,95.00,0.39,0.06,8.00,0.03,0.06,0.00,0.00,0.00,143.00,0.59,0.06,93.00,0.38,0.06,5.00,0.02,0.05,1.00,0.00,0.06
Normal Intercultural Bilingüe,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,1064.00,0.58,0.41,713.00,0.39,0.46,51.00,0.03,0.45,6.00,0.00,0.38,1044.00,0.57,0.42,691.00,0.38,0.44,92.00,0.05,0.52,7.00,0.00,0.29,1085.00,0.59,0.41,714.00,0.39,0.47,30.00,0.02,0.41,5.00,0.00,0.39,974.00,0.53,0.41,797.00,0.44,0.46,61.00,0.03,0.46,2.00,0.00,0.29,988.00,0.54,0.42,721.00,0.39,0.45,108.00,0.06,0.44,17.00,0.01,0.53,890.00,0.49,0.40,896.00,0.49,0.47,44.00,0.02,0.41,4.00,0.00,0.44,1020.00,0.56,0.41,761.00,0.42,0.46,46.00,0.03,0.45,7.00,0.00,0.64,994.00,0.54,0.41,774.00,0.42,0.46,58.00,0.03,0.43,8.00,0.00,0.44,1069.00,0.58,0.42,701.00,0.38,0.45,58.00,0.03,0.52,6.00,0.00,0.38
