Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
Hombre,94.00,0.41,0.04,122.00,0.53,0.04,12.00,0.05,0.04,3.00,0.01,0.13,95.00,0.41,0.05,123.00,0.53,0.04,12.00,0.05,0.04,1.00,0.00,0.06,80.00,0.35,0.04,137.00,0.59,0.04,13.00,0.06,0.03,1.00,0.00,0.04,62.00,0.27,0.05,145.00,0.63,0.04,19.00,0.08,0.04,5.00,0.02,0.14,58.00,0.25,0.05,137.00,0.59,0.04,34.00,0.15,0.05,2.00,0.01,0.04,62.00,0.27,0.05,141.00,0.61,0.04,25.00,0.11,0.04,3.00,0.01,0.08,64.00,0.28,0.06,134.00,0.58,0.04,29.00,0.13,0.04,4.00,0.02,0.07
Mujer,2020.00,0.40,0.96,2772.00,0.54,0.96,293.00,0.06,0.96,21.00,0.00,0.88,1822.00,0.36,0.95,2934.00,0.58,0.96,335.00,0.07,0.97,15.00,0.00,0.94,1719.00,0.34,0.96,2948.00,0.58,0.96,412.00,0.08,0.97,27.00,0.01,0.96,1239.00,0.24,0.95,3387.00,0.66,0.96,449.00,0.09,0.96,31.00,0.01,0.86,1085.00,0.21,0.95,3300.00,0.65,0.96,678.00,0.13,0.95,43.00,0.01,0.96,1138.00,0.22,0.95,3322.00,0.65,0.96,610.00,0.12,0.96,36.00,0.01,0.92,1073.00,0.21,0.94,3288.00,0.64,0.96,689.00,0.14,0.96,56.00,0.01,0.93
18 a 20 años,11.00,0.34,0.01,20.00,0.63,0.01,1.00,0.03,0.00,0.00,0.00,0.00,11.00,0.34,0.01,20.00,0.63,0.01,1.00,0.03,0.00,0.00,0.00,0.00,10.00,0.31,0.01,20.00,0.63,0.01,2.00,0.06,0.01,0.00,0.00,0.00,3.00,0.09,0.00,28.00,0.88,0.01,1.00,0.03,0.00,0.00,0.00,0.00,5.00,0.16,0.00,23.00,0.72,0.01,3.00,0.09,0.00,1.00,0.03,0.02,6.00,0.19,0.01,24.00,0.75,0.01,1.00,0.03,0.00,1.00,0.03,0.03,7.00,0.22,0.01,20.00,0.63,0.01,4.00,0.13,0.01,1.00,0.03,0.02
21 a 30 años,517.00,0.45,0.25,573.00,0.49,0.20,67.00,0.06,0.22,5.00,0.00,0.21,461.00,0.40,0.24,611.00,0.53,0.20,87.00,0.08,0.25,3.00,0.00,0.19,444.00,0.38,0.25,608.00,0.52,0.20,106.00,0.09,0.25,4.00,0.00,0.14,331.00,0.29,0.25,727.00,0.63,0.21,93.00,0.08,0.20,11.00,0.01,0.31,294.00,0.25,0.26,696.00,0.60,0.20,158.00,0.14,0.22,14.00,0.01,0.31,315.00,0.27,0.26,697.00,0.60,0.20,138.00,0.12,0.22,12.00,0.01,0.31,288.00,0.25,0.25,710.00,0.61,0.21,152.00,0.13,0.21,12.00,0.01,0.20
31 a 40 años,726.00,0.39,0.34,1018.00,0.54,0.35,117.00,0.06,0.38,10.00,0.01,0.42,637.00,0.34,0.33,1099.00,0.59,0.36,128.00,0.07,0.37,7.00,0.00,0.44,607.00,0.32,0.34,1098.00,0.59,0.36,155.00,0.08,0.37,11.00,0.01,0.39,426.00,0.23,0.33,1255.00,0.67,0.36,180.00,0.10,0.39,10.00,0.01,0.28,366.00,0.20,0.32,1223.00,0.65,0.36,268.00,0.14,0.38,14.00,0.01,0.31,389.00,0.21,0.32,1228.00,0.66,0.36,238.00,0.13,0.38,16.00,0.01,0.41,364.00,0.20,0.32,1221.00,0.65,0.36,269.00,0.14,0.38,17.00,0.01,0.28
41 a 50 años,582.00,0.37,0.28,895.00,0.57,0.31,92.00,0.06,0.30,7.00,0.00,0.29,548.00,0.35,0.29,926.00,0.59,0.30,96.00,0.06,0.28,6.00,0.00,0.38,489.00,0.31,0.27,962.00,0.61,0.31,117.00,0.07,0.28,8.00,0.01,0.29,370.00,0.24,0.28,1053.00,0.67,0.30,142.00,0.09,0.30,11.00,0.01,0.31,329.00,0.21,0.29,1030.00,0.65,0.30,208.00,0.13,0.29,9.00,0.01,0.20,333.00,0.21,0.28,1051.00,0.67,0.30,184.00,0.12,0.29,8.00,0.01,0.21,324.00,0.21,0.29,1028.00,0.65,0.30,208.00,0.13,0.29,16.00,0.01,0.27
51 a 60 años,269.00,0.40,0.13,372.00,0.56,0.13,27.00,0.04,0.09,2.00,0.00,0.08,251.00,0.38,0.13,385.00,0.58,0.13,34.00,0.05,0.10,0.00,0.00,0.00,241.00,0.36,0.13,381.00,0.57,0.12,43.00,0.06,0.10,5.00,0.01,0.18,165.00,0.25,0.13,450.00,0.67,0.13,51.00,0.08,0.11,4.00,0.01,0.11,145.00,0.22,0.13,446.00,0.67,0.13,72.00,0.11,0.10,7.00,0.01,0.16,153.00,0.23,0.13,445.00,0.66,0.13,70.00,0.10,0.11,2.00,0.00,0.05,150.00,0.22,0.13,427.00,0.64,0.13,80.00,0.12,0.11,13.00,0.02,0.22
61 a 70 años,9.00,0.35,0.00,16.00,0.62,0.01,1.00,0.04,0.00,0.00,0.00,0.00,9.00,0.35,0.01,16.00,0.62,0.01,1.00,0.04,0.00,0.00,0.00,0.00,8.00,0.31,0.00,16.00,0.62,0.01,2.00,0.08,0.01,0.00,0.00,0.00,6.00,0.23,0.01,19.00,0.73,0.01,1.00,0.04,0.00,0.00,0.00,0.00,4.00,0.15,0.00,19.00,0.73,0.01,3.00,0.12,0.00,0.00,0.00,0.00,4.00,0.15,0.00,18.00,0.69,0.01,4.00,0.15,0.01,0.00,0.00,0.00,4.00,0.15,0.00,16.00,0.62,0.01,5.00,0.19,0.01,1.00,0.04,0.02
71 a 80 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",14.00,0.31,0.01,29.00,0.64,0.01,2.00,0.04,0.01,0.00,0.00,0.00,13.00,0.29,0.01,29.00,0.64,0.01,3.00,0.07,0.01,0.00,0.00,0.00,14.00,0.31,0.01,30.00,0.67,0.01,1.00,0.02,0.00,0.00,0.00,0.00,9.00,0.20,0.01,30.00,0.67,0.01,5.00,0.11,0.01,1.00,0.02,0.03,11.00,0.24,0.01,31.00,0.69,0.01,2.00,0.04,0.00,1.00,0.02,0.02,10.00,0.22,0.01,30.00,0.67,0.01,4.00,0.09,0.01,1.00,0.02,0.03,9.00,0.20,0.01,29.00,0.64,0.01,6.00,0.13,0.01,1.00,0.02,0.02
Normal básica sin licenciatura,48.00,0.35,0.02,83.00,0.60,0.03,6.00,0.04,0.02,2.00,0.01,0.08,45.00,0.32,0.02,84.00,0.60,0.03,10.00,0.07,0.03,0.00,0.00,0.00,40.00,0.29,0.02,84.00,0.60,0.03,12.00,0.09,0.03,3.00,0.02,0.11,31.00,0.22,0.02,95.00,0.68,0.03,12.00,0.09,0.03,1.00,0.01,0.03,27.00,0.19,0.02,96.00,0.69,0.03,15.00,0.11,0.02,1.00,0.01,0.02,24.00,0.17,0.02,99.00,0.71,0.03,15.00,0.11,0.02,1.00,0.01,0.03,29.00,0.21,0.03,87.00,0.63,0.03,20.00,0.14,0.03,3.00,0.02,0.05
Normal superior,28.00,0.38,0.01,45.00,0.61,0.02,1.00,0.01,0.00,0.00,0.00,0.00,25.00,0.34,0.01,47.00,0.64,0.02,2.00,0.03,0.01,0.00,0.00,0.00,26.00,0.35,0.01,45.00,0.61,0.02,3.00,0.04,0.01,0.00,0.00,0.00,21.00,0.28,0.02,47.00,0.64,0.01,5.00,0.07,0.01,1.00,0.01,0.03,19.00,0.26,0.02,49.00,0.66,0.01,6.00,0.08,0.01,0.00,0.00,0.00,19.00,0.26,0.02,49.00,0.66,0.01,6.00,0.08,0.01,0.00,0.00,0.00,21.00,0.28,0.02,43.00,0.58,0.01,8.00,0.11,0.01,2.00,0.03,0.03
Normal Intercultural Bilingüe,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.00,4.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,1674.00,0.40,0.79,2265.00,0.54,0.78,237.00,0.06,0.78,15.00,0.00,0.63,1511.00,0.36,0.79,2402.00,0.57,0.79,267.00,0.06,0.77,11.00,0.00,0.69,1427.00,0.34,0.79,2400.00,0.57,0.78,344.00,0.08,0.81,20.00,0.01,0.71,1021.00,0.24,0.79,2777.00,0.66,0.79,368.00,0.09,0.79,25.00,0.01,0.69,903.00,0.22,0.79,2702.00,0.65,0.79,552.00,0.13,0.78,34.00,0.01,0.76,947.00,0.23,0.79,2728.00,0.65,0.79,489.00,0.12,0.77,27.00,0.01,0.69,902.00,0.22,0.79,2692.00,0.64,0.79,553.00,0.13,0.77,44.00,0.01,0.73
Especialidad,6.00,0.27,0.00,14.00,0.64,0.01,2.00,0.09,0.01,0.00,0.00,0.00,6.00,0.27,0.00,15.00,0.68,0.01,1.00,0.05,0.00,0.00,0.00,0.00,5.00,0.23,0.00,16.00,0.73,0.01,1.00,0.05,0.00,0.00,0.00,0.00,3.00,0.14,0.00,14.00,0.64,0.00,5.00,0.23,0.01,0.00,0.00,0.00,2.00,0.09,0.00,16.00,0.73,0.01,4.00,0.18,0.01,0.00,0.00,0.00,2.00,0.09,0.00,16.00,0.73,0.01,4.00,0.18,0.01,0.00,0.00,0.00,4.00,0.18,0.00,11.00,0.50,0.00,6.00,0.27,0.01,1.00,0.05,0.02
Maestría,325.00,0.41,0.15,417.00,0.52,0.14,55.00,0.07,0.18,6.00,0.01,0.25,299.00,0.37,0.16,441.00,0.55,0.14,59.00,0.07,0.17,4.00,0.01,0.25,270.00,0.34,0.15,468.00,0.58,0.15,60.00,0.08,0.14,5.00,0.01,0.18,199.00,0.25,0.15,525.00,0.65,0.15,71.00,0.09,0.15,8.00,0.01,0.22,167.00,0.21,0.15,501.00,0.62,0.15,126.00,0.16,0.18,9.00,0.01,0.20,181.00,0.23,0.15,499.00,0.62,0.14,113.00,0.14,0.18,10.00,0.01,0.26,160.00,0.20,0.14,513.00,0.64,0.15,122.00,0.15,0.17,8.00,0.01,0.13
Doctorado,17.00,0.30,0.01,37.00,0.65,0.01,2.00,0.04,0.01,1.00,0.02,0.04,16.00,0.28,0.01,36.00,0.63,0.01,4.00,0.07,0.01,1.00,0.02,0.06,15.00,0.26,0.01,38.00,0.67,0.01,4.00,0.07,0.01,0.00,0.00,0.00,15.00,0.26,0.01,40.00,0.70,0.01,2.00,0.04,0.00,0.00,0.00,0.00,12.00,0.21,0.01,39.00,0.68,0.01,6.00,0.11,0.01,0.00,0.00,0.00,15.00,0.26,0.01,39.00,0.68,0.01,3.00,0.05,0.01,0.00,0.00,0.00,11.00,0.19,0.01,43.00,0.75,0.01,2.00,0.04,0.00,1.00,0.02,0.02
Posdoctorado,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Menor o igual a 10,776.00,0.42,0.37,967.00,0.52,0.33,108.00,0.06,0.35,9.00,0.01,0.38,694.00,0.37,0.36,1032.00,0.56,0.34,126.00,0.07,0.36,8.00,0.00,0.50,668.00,0.36,0.37,1024.00,0.55,0.33,155.00,0.08,0.37,13.00,0.01,0.46,491.00,0.26,0.38,1185.00,0.64,0.34,167.00,0.09,0.36,17.00,0.01,0.47,440.00,0.24,0.39,1142.00,0.61,0.33,256.00,0.14,0.36,22.00,0.01,0.49,456.00,0.25,0.38,1160.00,0.62,0.34,224.00,0.12,0.35,20.00,0.01,0.51,424.00,0.23,0.37,1161.00,0.62,0.34,255.00,0.14,0.36,20.00,0.01,0.33
11 a 20,757.00,0.39,0.36,1065.00,0.55,0.37,119.00,0.06,0.39,11.00,0.01,0.46,691.00,0.35,0.36,1121.00,0.57,0.37,133.00,0.07,0.38,7.00,0.00,0.44,620.00,0.32,0.35,1169.00,0.60,0.38,155.00,0.08,0.37,8.00,0.00,0.29,455.00,0.23,0.35,1307.00,0.67,0.37,178.00,0.09,0.38,12.00,0.01,0.33,390.00,0.20,0.34,1267.00,0.65,0.37,281.00,0.14,0.40,14.00,0.01,0.31,412.00,0.21,0.34,1288.00,0.66,0.37,240.00,0.12,0.38,12.00,0.01,0.31,396.00,0.20,0.35,1274.00,0.65,0.37,265.00,0.14,0.37,17.00,0.01,0.28
21 a 30,581.00,0.38,0.28,862.00,0.57,0.30,78.00,0.05,0.26,4.00,0.00,0.17,532.00,0.35,0.28,904.00,0.59,0.30,88.00,0.06,0.25,1.00,0.00,0.06,511.00,0.34,0.28,892.00,0.59,0.29,115.00,0.08,0.27,7.00,0.01,0.25,355.00,0.23,0.27,1040.00,0.68,0.29,123.00,0.08,0.26,7.00,0.01,0.19,313.00,0.21,0.27,1028.00,0.67,0.30,175.00,0.12,0.25,9.00,0.01,0.20,332.00,0.22,0.28,1015.00,0.67,0.29,171.00,0.11,0.27,7.00,0.01,0.18,317.00,0.21,0.28,987.00,0.65,0.29,198.00,0.13,0.28,23.00,0.02,0.38
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,1961.00,0.40,0.93,2687.00,0.54,0.93,288.00,0.06,0.94,24.00,0.01,1.00,1769.00,0.36,0.92,2850.00,0.58,0.93,325.00,0.07,0.94,16.00,0.00,1.00,1661.00,0.34,0.92,2869.00,0.58,0.93,403.00,0.08,0.95,27.00,0.01,0.96,1190.00,0.24,0.92,3297.00,0.67,0.93,439.00,0.09,0.94,34.00,0.01,0.94,1037.00,0.21,0.91,3199.00,0.65,0.93,682.00,0.14,0.96,42.00,0.01,0.93,1094.00,0.22,0.91,3229.00,0.65,0.93,601.00,0.12,0.95,36.00,0.01,0.92,1030.00,0.21,0.91,3194.00,0.64,0.93,678.00,0.14,0.94,58.00,0.01,0.97
Interino,63.00,0.40,0.03,86.00,0.54,0.03,9.00,0.06,0.03,0.00,0.00,0.00,66.00,0.42,0.03,80.00,0.51,0.03,12.00,0.08,0.04,0.00,0.00,0.00,61.00,0.39,0.03,87.00,0.55,0.03,10.00,0.06,0.02,0.00,0.00,0.00,49.00,0.31,0.04,99.00,0.63,0.03,9.00,0.06,0.02,1.00,0.01,0.03,54.00,0.34,0.05,91.00,0.58,0.03,13.00,0.08,0.02,0.00,0.00,0.00,51.00,0.32,0.04,92.00,0.58,0.03,15.00,0.10,0.02,0.00,0.00,0.00,48.00,0.30,0.04,100.00,0.63,0.03,10.00,0.06,0.01,0.00,0.00,0.00
Tiempo fijo,42.00,0.45,0.02,50.00,0.53,0.02,2.00,0.02,0.01,0.00,0.00,0.00,37.00,0.39,0.02,51.00,0.54,0.02,6.00,0.06,0.02,0.00,0.00,0.00,32.00,0.34,0.02,54.00,0.57,0.02,8.00,0.09,0.02,0.00,0.00,0.00,27.00,0.29,0.02,59.00,0.63,0.02,8.00,0.09,0.02,0.00,0.00,0.00,25.00,0.27,0.02,60.00,0.64,0.02,7.00,0.07,0.01,2.00,0.02,0.04,26.00,0.28,0.02,59.00,0.63,0.02,7.00,0.07,0.01,2.00,0.02,0.05,27.00,0.29,0.02,57.00,0.61,0.02,9.00,0.10,0.01,1.00,0.01,0.02
No tengo nombramiento,12.00,0.38,0.01,20.00,0.63,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.41,0.01,18.00,0.56,0.01,1.00,0.03,0.00,0.00,0.00,0.00,11.00,0.34,0.01,20.00,0.63,0.01,0.00,0.00,0.00,1.00,0.03,0.04,7.00,0.22,0.01,23.00,0.72,0.01,1.00,0.03,0.00,1.00,0.03,0.03,5.00,0.16,0.00,25.00,0.78,0.01,1.00,0.03,0.00,1.00,0.03,0.02,7.00,0.22,0.01,23.00,0.72,0.01,1.00,0.03,0.00,1.00,0.03,0.03,8.00,0.25,0.01,21.00,0.66,0.01,2.00,0.06,0.00,1.00,0.03,0.02
Otro,36.00,0.39,0.02,51.00,0.55,0.02,6.00,0.07,0.02,0.00,0.00,0.00,32.00,0.34,0.02,58.00,0.62,0.02,3.00,0.03,0.01,0.00,0.00,0.00,34.00,0.37,0.02,55.00,0.59,0.02,4.00,0.04,0.01,0.00,0.00,0.00,28.00,0.30,0.02,54.00,0.58,0.02,11.00,0.12,0.02,0.00,0.00,0.00,22.00,0.24,0.02,62.00,0.67,0.02,9.00,0.10,0.01,0.00,0.00,0.00,22.00,0.24,0.02,60.00,0.65,0.02,11.00,0.12,0.02,0.00,0.00,0.00,24.00,0.26,0.02,50.00,0.54,0.02,19.00,0.20,0.03,0.00,0.00,0.00
GENERAL PÚBLICA,1993.00,0.40,0.94,2715.00,0.54,0.94,289.00,0.06,0.95,23.00,0.01,0.96,1799.00,0.36,0.94,2877.00,0.57,0.94,328.00,0.07,0.95,16.00,0.00,1.00,1689.00,0.34,0.94,2895.00,0.58,0.94,408.00,0.08,0.96,28.00,0.01,1.00,1215.00,0.24,0.93,3322.00,0.66,0.94,447.00,0.09,0.96,36.00,0.01,1.00,1069.00,0.21,0.94,3222.00,0.64,0.94,685.00,0.14,0.96,44.00,0.01,0.98,1107.00,0.22,0.92,3265.00,0.65,0.94,610.00,0.12,0.96,38.00,0.01,0.97,1053.00,0.21,0.93,3219.00,0.64,0.94,689.00,0.14,0.96,59.00,0.01,0.98
INDÍGENAS,121.00,0.38,0.06,179.00,0.57,0.06,16.00,0.05,0.05,1.00,0.00,0.04,118.00,0.37,0.06,180.00,0.57,0.06,19.00,0.06,0.06,0.00,0.00,0.00,110.00,0.35,0.06,190.00,0.60,0.06,17.00,0.05,0.04,0.00,0.00,0.00,86.00,0.27,0.07,210.00,0.66,0.06,21.00,0.07,0.05,0.00,0.00,0.00,74.00,0.23,0.07,215.00,0.68,0.06,27.00,0.09,0.04,1.00,0.00,0.02,93.00,0.29,0.08,198.00,0.63,0.06,25.00,0.08,0.04,1.00,0.00,0.03,84.00,0.27,0.07,203.00,0.64,0.06,29.00,0.09,0.04,1.00,0.00,0.02
Total,2114.00,0.40,1.00,2894.00,0.54,1.00,305.00,0.06,1.00,24.00,0.00,1.00,1917.00,0.36,1.00,3057.00,0.57,1.00,347.00,0.07,1.00,16.00,0.00,1.00,1799.00,0.34,1.00,3085.00,0.58,1.00,425.00,0.08,1.00,28.00,0.01,1.00,1301.00,0.24,1.00,3532.00,0.66,1.00,468.00,0.09,1.00,36.00,0.01,1.00,1143.00,0.21,1.00,3437.00,0.64,1.00,712.00,0.13,1.00,45.00,0.01,1.00,1200.00,0.23,1.00,3463.00,0.65,1.00,635.00,0.12,1.00,39.00,0.01,1.00,1137.00,0.21,1.00,3422.00,0.64,1.00,718.00,0.14,1.00,60.00,0.01,1.00
