Entidad,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
71 a 80 años,55.00,0.89,0.02,7.00,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.89,0.02,7.00,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.84,0.02,9.00,0.15,0.01,1.00,0.02,0.02,0.00,0.00,0.00,46.00,0.74,0.02,13.00,0.21,0.01,3.00,0.05,0.04,0.00,0.00,0.00,43.00,0.69,0.02,18.00,0.29,0.01,1.00,0.02,0.01,0.00,0.00,0.00,49.00,0.79,0.02,12.00,0.19,0.01,1.00,0.02,0.01,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",11.00,0.61,0.00,7.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.50,0.00,9.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.61,0.00,7.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.56,0.00,8.00,0.44,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.50,0.00,9.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.44,0.00,9.00,0.50,0.01,1.00,0.06,0.01,0.00,0.00,0.00
Normal básica sin licenciatura,65.00,0.76,0.02,21.00,0.24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.76,0.02,20.00,0.23,0.02,1.00,0.01,0.02,0.00,0.00,0.00,66.00,0.77,0.02,20.00,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.66,0.02,28.00,0.33,0.02,1.00,0.01,0.01,0.00,0.00,0.00,53.00,0.62,0.02,32.00,0.37,0.02,1.00,0.01,0.01,0.00,0.00,0.00,54.00,0.63,0.02,30.00,0.35,0.02,2.00,0.02,0.02,0.00,0.00,0.00
Normal superior,187.00,0.77,0.06,55.00,0.23,0.07,0.00,0.00,0.00,0.00,0.00,0.00,182.00,0.75,0.05,60.00,0.25,0.07,0.00,0.00,0.00,0.00,0.00,0.00,177.00,0.73,0.06,63.00,0.26,0.06,2.00,0.01,0.04,0.00,0.00,0.00,153.00,0.63,0.06,84.00,0.35,0.06,5.00,0.02,0.06,0.00,0.00,0.00,148.00,0.61,0.05,93.00,0.38,0.07,1.00,0.00,0.01,0.00,0.00,0.00,147.00,0.61,0.06,92.00,0.38,0.06,3.00,0.01,0.02,0.00,0.00,0.00
Normal Intercultural Bilingüe,4.00,0.80,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,2.00,0.40,0.00,1.00,0.20,0.02,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,1360.00,0.74,0.40,450.00,0.25,0.53,20.00,0.01,0.67,4.00,0.00,0.67,1354.00,0.74,0.41,451.00,0.25,0.52,25.00,0.01,0.61,4.00,0.00,0.44,1267.00,0.69,0.40,534.00,0.29,0.51,31.00,0.02,0.61,2.00,0.00,0.50,1121.00,0.61,0.40,664.00,0.36,0.48,47.00,0.03,0.55,2.00,0.00,0.40,1088.00,0.59,0.40,693.00,0.38,0.49,52.00,0.03,0.55,1.00,0.00,0.25,1051.00,0.57,0.39,702.00,0.38,0.49,79.00,0.04,0.59,2.00,0.00,0.29
Especialidad,43.00,0.88,0.01,5.00,0.10,0.01,1.00,0.02,0.03,0.00,0.00,0.00,41.00,0.84,0.01,6.00,0.12,0.01,1.00,0.02,0.02,1.00,0.02,0.11,39.00,0.80,0.01,9.00,0.18,0.01,1.00,0.02,0.02,0.00,0.00,0.00,36.00,0.74,0.01,11.00,0.22,0.01,2.00,0.04,0.02,0.00,0.00,0.00,36.00,0.74,0.01,11.00,0.22,0.01,2.00,0.04,0.02,0.00,0.00,0.00,37.00,0.76,0.01,11.00,0.22,0.01,1.00,0.02,0.01,0.00,0.00,0.00
Maestría,1313.00,0.84,0.39,249.00,0.16,0.29,5.00,0.00,0.17,2.00,0.00,0.33,1308.00,0.83,0.39,250.00,0.16,0.29,9.00,0.01,0.22,2.00,0.00,0.22,1226.00,0.78,0.39,329.00,0.21,0.32,13.00,0.01,0.26,1.00,0.00,0.25,1074.00,0.69,0.39,473.00,0.30,0.34,20.00,0.01,0.23,2.00,0.00,0.40,1060.00,0.68,0.39,481.00,0.31,0.34,27.00,0.02,0.29,1.00,0.00,0.25,1053.00,0.67,0.39,476.00,0.30,0.33,37.00,0.02,0.28,3.00,0.00,0.43
Doctorado,372.00,0.85,0.11,60.00,0.14,0.07,4.00,0.01,0.13,0.00,0.00,0.00,367.00,0.84,0.11,63.00,0.14,0.07,4.00,0.01,0.10,2.00,0.01,0.22,354.00,0.81,0.11,77.00,0.18,0.07,4.00,0.01,0.08,1.00,0.00,0.25,316.00,0.73,0.11,108.00,0.25,0.08,11.00,0.03,0.13,1.00,0.00,0.20,327.00,0.75,0.12,97.00,0.22,0.07,11.00,0.03,0.12,1.00,0.00,0.25,322.00,0.74,0.12,103.00,0.24,0.07,9.00,0.02,0.07,2.00,0.01,0.29
Posdoctorado,11.00,0.79,0.00,3.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.86,0.00,2.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.79,0.00,3.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.57,0.00,6.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.64,0.00,4.00,0.29,0.00,0.00,0.00,0.00,1.00,0.07,0.25,7.00,0.50,0.00,6.00,0.43,0.00,1.00,0.07,0.01,0.00,0.00,0.00
Menor o igual a 10,2300.00,0.80,0.68,559.00,0.19,0.66,24.00,0.01,0.80,5.00,0.00,0.83,2278.00,0.79,0.68,573.00,0.20,0.66,31.00,0.01,0.76,6.00,0.00,0.67,2134.00,0.74,0.68,709.00,0.25,0.68,42.00,0.02,0.82,3.00,0.00,0.75,1871.00,0.65,0.67,948.00,0.33,0.69,65.00,0.02,0.76,4.00,0.00,0.80,1847.00,0.64,0.68,975.00,0.34,0.69,64.00,0.02,0.68,2.00,0.00,0.50,1799.00,0.62,0.67,983.00,0.34,0.69,101.00,0.04,0.76,5.00,0.00,0.71
11 a 20,688.00,0.77,0.20,198.00,0.22,0.23,6.00,0.01,0.20,1.00,0.00,0.17,688.00,0.77,0.21,194.00,0.22,0.23,8.00,0.01,0.20,3.00,0.00,0.33,668.00,0.75,0.21,216.00,0.24,0.21,8.00,0.01,0.16,1.00,0.00,0.25,594.00,0.67,0.21,280.00,0.31,0.20,18.00,0.02,0.21,1.00,0.00,0.20,581.00,0.65,0.21,289.00,0.32,0.20,21.00,0.02,0.22,2.00,0.00,0.50,581.00,0.65,0.22,286.00,0.32,0.20,25.00,0.03,0.19,1.00,0.00,0.14
21 a 30,378.00,0.80,0.11,94.00,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.00,374.00,0.79,0.11,96.00,0.20,0.11,2.00,0.00,0.05,0.00,0.00,0.00,352.00,0.75,0.11,119.00,0.25,0.11,1.00,0.00,0.02,0.00,0.00,0.00,315.00,0.67,0.11,154.00,0.33,0.11,3.00,0.01,0.04,0.00,0.00,0.00,307.00,0.65,0.11,156.00,0.33,0.11,9.00,0.02,0.10,0.00,0.00,0.00,304.00,0.64,0.11,160.00,0.34,0.11,7.00,0.02,0.05,1.00,0.00,0.14
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,2734.00,0.82,0.81,594.00,0.18,0.70,13.00,0.00,0.43,5.00,0.00,0.83,2717.00,0.81,0.81,603.00,0.18,0.70,20.00,0.01,0.49,6.00,0.00,0.67,2561.00,0.77,0.81,756.00,0.23,0.72,27.00,0.01,0.53,2.00,0.00,0.50,2278.00,0.68,0.82,1017.00,0.30,0.74,46.00,0.01,0.54,5.00,0.00,1.00,2199.00,0.66,0.80,1084.00,0.32,0.76,59.00,0.02,0.63,4.00,0.00,1.00,2184.00,0.65,0.81,1069.00,0.32,0.75,87.00,0.03,0.65,6.00,0.00,0.86
Interino,99.00,0.74,0.03,33.00,0.25,0.04,1.00,0.01,0.03,1.00,0.01,0.17,97.00,0.72,0.03,34.00,0.25,0.04,3.00,0.02,0.07,0.00,0.00,0.00,97.00,0.72,0.03,33.00,0.25,0.03,3.00,0.02,0.06,1.00,0.01,0.25,84.00,0.63,0.03,48.00,0.36,0.04,2.00,0.02,0.02,0.00,0.00,0.00,86.00,0.64,0.03,44.00,0.33,0.03,4.00,0.03,0.04,0.00,0.00,0.00,87.00,0.65,0.03,41.00,0.31,0.03,6.00,0.05,0.05,0.00,0.00,0.00
No tengo nombramiento,309.00,0.67,0.09,142.00,0.31,0.17,11.00,0.02,0.37,0.00,0.00,0.00,306.00,0.66,0.09,142.00,0.31,0.17,13.00,0.03,0.32,1.00,0.00,0.11,285.00,0.62,0.09,163.00,0.35,0.16,14.00,0.03,0.28,0.00,0.00,0.00,233.00,0.50,0.08,204.00,0.44,0.15,25.00,0.05,0.29,0.00,0.00,0.00,256.00,0.55,0.09,187.00,0.41,0.13,19.00,0.04,0.20,0.00,0.00,0.00,226.00,0.49,0.08,204.00,0.44,0.14,31.00,0.07,0.23,1.00,0.00,0.14
Otro,224.00,0.72,0.07,82.00,0.26,0.10,5.00,0.02,0.17,0.00,0.00,0.00,220.00,0.71,0.07,84.00,0.27,0.10,5.00,0.02,0.12,2.00,0.01,0.22,211.00,0.68,0.07,92.00,0.30,0.09,7.00,0.02,0.14,1.00,0.00,0.25,185.00,0.60,0.07,113.00,0.36,0.08,13.00,0.04,0.15,0.00,0.00,0.00,194.00,0.62,0.07,105.00,0.34,0.07,12.00,0.04,0.13,0.00,0.00,0.00,187.00,0.60,0.07,115.00,0.37,0.08,9.00,0.03,0.07,0.00,0.00,0.00
GENERAL PÚBLICA,2199.00,0.79,0.65,559.00,0.20,0.66,18.00,0.01,0.60,4.00,0.00,0.67,2192.00,0.79,0.66,553.00,0.20,0.64,29.00,0.01,0.71,6.00,0.00,0.67,2058.00,0.74,0.65,684.00,0.25,0.66,36.00,0.01,0.71,2.00,0.00,0.50,1826.00,0.66,0.66,885.00,0.32,0.64,65.00,0.02,0.76,4.00,0.00,0.80,1768.00,0.64,0.65,937.00,0.34,0.66,72.00,0.03,0.77,3.00,0.00,0.75,1719.00,0.62,0.64,955.00,0.34,0.67,100.00,0.04,0.75,6.00,0.00,0.86
INDÍGENAS,243.00,0.66,0.07,116.00,0.31,0.14,8.00,0.02,0.27,2.00,0.01,0.33,233.00,0.63,0.07,125.00,0.34,0.15,9.00,0.02,0.22,2.00,0.01,0.22,220.00,0.60,0.07,139.00,0.38,0.13,8.00,0.02,0.16,2.00,0.01,0.50,199.00,0.54,0.07,158.00,0.43,0.11,11.00,0.03,0.13,1.00,0.00,0.20,205.00,0.56,0.08,151.00,0.41,0.11,12.00,0.03,0.13,1.00,0.00,0.25,200.00,0.54,0.08,148.00,0.40,0.10,20.00,0.05,0.15,1.00,0.00,0.14
TÉCNICA,505.00,0.90,0.15,55.00,0.10,0.07,1.00,0.00,0.03,0.00,0.00,0.00,498.00,0.89,0.15,61.00,0.11,0.07,1.00,0.00,0.02,1.00,0.00,0.11,491.00,0.88,0.16,69.00,0.12,0.07,1.00,0.00,0.02,0.00,0.00,0.00,426.00,0.76,0.15,134.00,0.24,0.10,1.00,0.00,0.01,0.00,0.00,0.00,422.00,0.75,0.15,136.00,0.24,0.10,3.00,0.01,0.03,0.00,0.00,0.00,432.00,0.77,0.16,126.00,0.23,0.09,3.00,0.01,0.02,0.00,0.00,0.00
TELESECUNDARIA,419.00,0.77,0.12,121.00,0.22,0.14,3.00,0.01,0.10,0.00,0.00,0.00,417.00,0.77,0.13,124.00,0.23,0.14,2.00,0.00,0.05,0.00,0.00,0.00,385.00,0.71,0.12,152.00,0.28,0.15,6.00,0.01,0.12,0.00,0.00,0.00,329.00,0.61,0.12,205.00,0.38,0.15,9.00,0.02,0.11,0.00,0.00,0.00,340.00,0.63,0.12,196.00,0.36,0.14,7.00,0.01,0.07,0.00,0.00,0.00,333.00,0.61,0.12,200.00,0.37,0.14,10.00,0.02,0.08,0.00,0.00,0.00
Total,3366.00,0.79,1.00,851.00,0.20,1.00,30.00,0.01,1.00,6.00,0.00,1.00,3340.00,0.79,1.00,863.00,0.20,1.00,41.00,0.01,1.00,9.00,0.00,1.00,3154.00,0.74,1.00,1044.00,0.25,1.00,51.00,0.01,1.00,4.00,0.00,1.00,2780.00,0.65,1.00,1382.00,0.33,1.00,86.00,0.02,1.00,5.00,0.00,1.00,2735.00,0.64,1.00,1420.00,0.33,1.00,94.00,0.02,1.00,4.00,0.00,1.00,2684.00,0.63,1.00,1429.00,0.34,1.00,133.00,0.03,1.00,7.00,0.00,1.00
