Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
Normal Intercultural Bilingüe,41.00,0.38,0.01,65.00,0.61,0.01,1.00,0.01,0.00,0.00,0.00,0.00,43.00,0.40,0.01,61.00,0.57,0.01,3.00,0.03,0.01,0.00,0.00,0.00,47.00,0.44,0.01,57.00,0.53,0.01,2.00,0.02,0.01,1.00,0.01,0.06,42.00,0.39,0.01,64.00,0.60,0.01,1.00,0.01,0.00,0.00,0.00,0.00,40.00,0.37,0.01,63.00,0.59,0.01,4.00,0.04,0.01,0.00,0.00,0.00
Licenciatura,2955.00,0.34,0.73,5384.00,0.63,0.76,225.00,0.03,0.80,16.00,0.00,0.84,3160.00,0.37,0.73,5204.00,0.61,0.76,204.00,0.02,0.76,11.00,0.00,0.69,3412.00,0.40,0.74,4942.00,0.58,0.76,215.00,0.03,0.75,10.00,0.00,0.56,3028.00,0.35,0.73,5320.00,0.62,0.76,220.00,0.03,0.72,11.00,0.00,0.79,2644.00,0.31,0.73,5292.00,0.62,0.76,588.00,0.07,0.76,55.00,0.01,0.75
Especialidad,30.00,0.40,0.01,44.00,0.59,0.01,1.00,0.01,0.00,0.00,0.00,0.00,31.00,0.41,0.01,42.00,0.56,0.01,2.00,0.03,0.01,0.00,0.00,0.00,36.00,0.48,0.01,36.00,0.48,0.01,2.00,0.03,0.01,1.00,0.01,0.06,34.00,0.45,0.01,36.00,0.48,0.01,5.00,0.07,0.02,0.00,0.00,0.00,30.00,0.40,0.01,38.00,0.51,0.01,7.00,0.09,0.01,0.00,0.00,0.00
Maestría,692.00,0.39,0.17,1054.00,0.59,0.15,35.00,0.02,0.13,1.00,0.00,0.05,733.00,0.41,0.17,1010.00,0.57,0.15,37.00,0.02,0.14,2.00,0.00,0.13,763.00,0.43,0.17,966.00,0.54,0.15,49.00,0.03,0.17,4.00,0.00,0.22,682.00,0.38,0.17,1047.00,0.59,0.15,52.00,0.03,0.17,1.00,0.00,0.07,574.00,0.32,0.16,1089.00,0.61,0.16,107.00,0.06,0.14,12.00,0.01,0.16
Doctorado,68.00,0.44,0.02,87.00,0.56,0.01,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.44,0.02,82.00,0.53,0.01,5.00,0.03,0.02,0.00,0.00,0.00,70.00,0.45,0.02,82.00,0.53,0.01,3.00,0.02,0.01,0.00,0.00,0.00,67.00,0.43,0.02,80.00,0.52,0.01,8.00,0.05,0.03,0.00,0.00,0.00,60.00,0.39,0.02,81.00,0.52,0.01,13.00,0.08,0.02,1.00,0.01,0.01
Posdoctorado,4.00,0.57,0.00,3.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,0.00,3.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,0.00,3.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,0.00,3.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.71,0.00,2.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Menor o igual a 10,1598.00,0.38,0.40,2513.00,0.59,0.35,106.00,0.03,0.38,12.00,0.00,0.63,1701.00,0.40,0.39,2420.00,0.57,0.35,100.00,0.02,0.37,7.00,0.00,0.44,1824.00,0.43,0.40,2290.00,0.54,0.35,104.00,0.03,0.36,10.00,0.00,0.56,1593.00,0.38,0.39,2513.00,0.59,0.36,115.00,0.03,0.38,7.00,0.00,0.50,1428.00,0.34,0.40,2525.00,0.60,0.36,251.00,0.06,0.32,24.00,0.01,0.33
11 a 20,1293.00,0.34,0.32,2470.00,0.64,0.35,93.00,0.02,0.33,3.00,0.00,0.16,1341.00,0.35,0.31,2410.00,0.63,0.35,104.00,0.03,0.39,4.00,0.00,0.25,1435.00,0.37,0.31,2303.00,0.60,0.35,117.00,0.03,0.41,4.00,0.00,0.22,1274.00,0.33,0.31,2474.00,0.64,0.35,108.00,0.03,0.36,3.00,0.00,0.21,1104.00,0.29,0.31,2432.00,0.63,0.35,298.00,0.08,0.39,25.00,0.01,0.34
21 a 30,1150.00,0.34,0.29,2111.00,0.63,0.30,82.00,0.02,0.29,4.00,0.00,0.21,1271.00,0.38,0.30,2007.00,0.60,0.29,64.00,0.02,0.24,5.00,0.00,0.31,1364.00,0.41,0.30,1914.00,0.57,0.29,65.00,0.02,0.23,4.00,0.00,0.22,1265.00,0.38,0.31,1997.00,0.60,0.29,81.00,0.02,0.27,4.00,0.00,0.29,1070.00,0.32,0.30,2027.00,0.61,0.29,226.00,0.07,0.29,24.00,0.01,0.33
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,3760.00,0.35,0.93,6648.00,0.62,0.94,259.00,0.02,0.92,13.00,0.00,0.68,4007.00,0.38,0.93,6412.00,0.60,0.94,248.00,0.02,0.93,13.00,0.00,0.81,4283.00,0.40,0.93,6116.00,0.57,0.94,267.00,0.03,0.93,14.00,0.00,0.78,3812.00,0.36,0.92,6570.00,0.62,0.94,287.00,0.03,0.94,11.00,0.00,0.79,3345.00,0.31,0.93,6551.00,0.61,0.94,716.00,0.07,0.92,68.00,0.01,0.93
Interino,150.00,0.40,0.04,209.00,0.56,0.03,12.00,0.03,0.04,3.00,0.01,0.16,161.00,0.43,0.04,203.00,0.54,0.03,9.00,0.02,0.03,1.00,0.00,0.06,177.00,0.47,0.04,189.00,0.51,0.03,7.00,0.02,0.02,1.00,0.00,0.06,166.00,0.44,0.04,198.00,0.53,0.03,9.00,0.02,0.03,1.00,0.00,0.07,134.00,0.36,0.04,208.00,0.56,0.03,29.00,0.08,0.04,3.00,0.01,0.04
Tiempo fijo,93.00,0.36,0.02,161.00,0.62,0.02,6.00,0.02,0.02,2.00,0.01,0.11,101.00,0.39,0.02,154.00,0.59,0.02,5.00,0.02,0.02,1.00,0.00,0.06,117.00,0.45,0.03,136.00,0.52,0.02,6.00,0.02,0.02,2.00,0.01,0.11,112.00,0.43,0.03,143.00,0.55,0.02,5.00,0.02,0.02,1.00,0.00,0.07,89.00,0.34,0.03,153.00,0.59,0.02,18.00,0.07,0.02,1.00,0.00,0.01
No tengo nombramiento,1.00,0.08,0.00,9.00,0.75,0.00,1.00,0.08,0.00,1.00,0.08,0.05,3.00,0.25,0.00,5.00,0.42,0.00,3.00,0.25,0.01,1.00,0.08,0.06,3.00,0.25,0.00,5.00,0.42,0.00,3.00,0.25,0.01,1.00,0.08,0.06,2.00,0.17,0.00,8.00,0.67,0.00,1.00,0.08,0.00,1.00,0.08,0.07,2.00,0.17,0.00,6.00,0.50,0.00,3.00,0.25,0.00,1.00,0.08,0.01
Otro,37.00,0.35,0.01,67.00,0.63,0.01,3.00,0.03,0.01,0.00,0.00,0.00,41.00,0.38,0.01,63.00,0.59,0.01,3.00,0.03,0.01,0.00,0.00,0.00,43.00,0.40,0.01,61.00,0.57,0.01,3.00,0.03,0.01,0.00,0.00,0.00,40.00,0.37,0.01,65.00,0.61,0.01,2.00,0.02,0.01,0.00,0.00,0.00,32.00,0.30,0.01,66.00,0.62,0.01,9.00,0.08,0.01,0.00,0.00,0.00
GENERAL PÚBLICA,3591.00,0.36,0.89,6283.00,0.62,0.89,237.00,0.02,0.84,18.00,0.00,0.95,3830.00,0.38,0.89,6040.00,0.60,0.88,243.00,0.02,0.91,15.00,0.00,0.94,4091.00,0.40,0.89,5760.00,0.57,0.89,261.00,0.03,0.91,16.00,0.00,0.89,3665.00,0.36,0.89,6174.00,0.61,0.88,275.00,0.03,0.91,14.00,0.00,1.00,3193.00,0.32,0.89,6176.00,0.61,0.88,693.00,0.07,0.89,66.00,0.01,0.90
INDÍGENAS,450.00,0.35,0.11,811.00,0.62,0.11,44.00,0.03,0.16,1.00,0.00,0.05,483.00,0.37,0.11,797.00,0.61,0.12,25.00,0.02,0.09,1.00,0.00,0.06,532.00,0.41,0.12,747.00,0.57,0.12,25.00,0.02,0.09,2.00,0.00,0.11,467.00,0.36,0.11,810.00,0.62,0.12,29.00,0.02,0.10,0.00,0.00,0.00,409.00,0.31,0.11,808.00,0.62,0.12,82.00,0.06,0.11,7.00,0.01,0.10
Total,4041.00,0.35,1.00,7094.00,0.62,1.00,281.00,0.03,1.00,19.00,0.00,1.00,4313.00,0.38,1.00,6837.00,0.60,1.00,268.00,0.02,1.00,16.00,0.00,1.00,4623.00,0.40,1.00,6507.00,0.57,1.00,286.00,0.03,1.00,18.00,0.00,1.00,4132.00,0.36,1.00,6984.00,0.61,1.00,304.00,0.03,1.00,14.00,0.00,1.00,3602.00,0.32,1.00,6984.00,0.61,1.00,775.00,0.07,1.00,73.00,0.01,1.00
