Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
Normal Intercultural Bilingüe,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.40,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,1687.00,0.40,0.78,2366.00,0.57,0.79,129.00,0.03,0.78,9.00,0.00,0.69,1775.00,0.42,0.79,2278.00,0.54,0.78,132.00,0.03,0.83,6.00,0.00,0.55,1995.00,0.48,0.79,2094.00,0.50,0.78,98.00,0.02,0.86,4.00,0.00,0.67,1728.00,0.41,0.80,2342.00,0.56,0.78,116.00,0.03,0.82,5.00,0.00,0.56,1469.00,0.35,0.79,2384.00,0.57,0.79,303.00,0.07,0.79,35.00,0.01,0.71
Especialidad,8.00,0.36,0.00,14.00,0.64,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.41,0.00,13.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.32,0.00,14.00,0.64,0.01,1.00,0.05,0.01,0.00,0.00,0.00,8.00,0.36,0.00,13.00,0.59,0.00,1.00,0.05,0.01,0.00,0.00,0.00,5.00,0.23,0.00,15.00,0.68,0.01,2.00,0.09,0.01,0.00,0.00,0.00
Maestría,351.00,0.44,0.16,423.00,0.53,0.14,26.00,0.03,0.16,3.00,0.00,0.23,352.00,0.44,0.16,429.00,0.53,0.15,19.00,0.02,0.12,3.00,0.00,0.27,386.00,0.48,0.15,408.00,0.51,0.15,8.00,0.01,0.07,1.00,0.00,0.17,308.00,0.38,0.14,473.00,0.59,0.16,21.00,0.03,0.15,1.00,0.00,0.11,284.00,0.35,0.15,461.00,0.57,0.15,50.00,0.06,0.13,8.00,0.01,0.16
Doctorado,28.00,0.49,0.01,29.00,0.51,0.01,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.40,0.01,30.00,0.53,0.01,4.00,0.07,0.03,0.00,0.00,0.00,30.00,0.53,0.01,24.00,0.42,0.01,3.00,0.05,0.03,0.00,0.00,0.00,25.00,0.44,0.01,31.00,0.54,0.01,0.00,0.00,0.00,1.00,0.02,0.11,25.00,0.44,0.01,29.00,0.51,0.01,2.00,0.04,0.01,1.00,0.02,0.02
Posdoctorado,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Menor o igual a 10,793.00,0.43,0.37,1007.00,0.54,0.34,56.00,0.03,0.34,4.00,0.00,0.31,854.00,0.46,0.38,947.00,0.51,0.33,56.00,0.03,0.35,3.00,0.00,0.27,925.00,0.50,0.37,890.00,0.48,0.33,44.00,0.02,0.39,1.00,0.00,0.17,787.00,0.42,0.36,1021.00,0.55,0.34,48.00,0.03,0.34,4.00,0.00,0.44,674.00,0.36,0.36,1032.00,0.56,0.34,133.00,0.07,0.35,21.00,0.01,0.43
11 a 20,793.00,0.41,0.37,1092.00,0.56,0.36,60.00,0.03,0.36,7.00,0.00,0.54,806.00,0.41,0.36,1077.00,0.55,0.37,67.00,0.03,0.42,2.00,0.00,0.18,907.00,0.47,0.36,993.00,0.51,0.37,50.00,0.03,0.44,2.00,0.00,0.33,774.00,0.40,0.36,1120.00,0.57,0.37,58.00,0.03,0.41,0.00,0.00,0.00,669.00,0.34,0.36,1109.00,0.57,0.37,158.00,0.08,0.41,16.00,0.01,0.33
21 a 30,573.00,0.38,0.27,901.00,0.59,0.30,49.00,0.03,0.30,2.00,0.00,0.15,597.00,0.39,0.27,886.00,0.58,0.30,36.00,0.02,0.23,6.00,0.00,0.55,691.00,0.45,0.27,811.00,0.53,0.30,20.00,0.01,0.18,3.00,0.00,0.50,603.00,0.40,0.28,881.00,0.58,0.29,36.00,0.02,0.25,5.00,0.00,0.56,525.00,0.34,0.28,896.00,0.59,0.30,92.00,0.06,0.24,12.00,0.01,0.25
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,2007.00,0.41,0.93,2787.00,0.56,0.93,153.00,0.03,0.93,13.00,0.00,1.00,2108.00,0.43,0.93,2694.00,0.54,0.93,148.00,0.03,0.93,10.00,0.00,0.91,2331.00,0.47,0.92,2513.00,0.51,0.93,110.00,0.02,0.97,6.00,0.00,1.00,1996.00,0.40,0.92,2818.00,0.57,0.93,138.00,0.03,0.97,8.00,0.00,0.89,1734.00,0.35,0.93,2831.00,0.57,0.93,348.00,0.07,0.91,47.00,0.01,0.96
Interino,66.00,0.42,0.03,87.00,0.55,0.03,5.00,0.03,0.03,0.00,0.00,0.00,61.00,0.39,0.03,94.00,0.60,0.03,3.00,0.02,0.02,0.00,0.00,0.00,78.00,0.49,0.03,79.00,0.50,0.03,1.00,0.01,0.01,0.00,0.00,0.00,66.00,0.42,0.03,89.00,0.56,0.03,2.00,0.01,0.01,1.00,0.01,0.11,58.00,0.37,0.03,88.00,0.56,0.03,10.00,0.06,0.03,2.00,0.01,0.04
Tiempo fijo,42.00,0.45,0.02,48.00,0.51,0.02,4.00,0.04,0.02,0.00,0.00,0.00,43.00,0.46,0.02,45.00,0.48,0.02,6.00,0.06,0.04,0.00,0.00,0.00,52.00,0.55,0.02,41.00,0.44,0.02,1.00,0.01,0.01,0.00,0.00,0.00,46.00,0.49,0.02,47.00,0.50,0.02,1.00,0.01,0.01,0.00,0.00,0.00,39.00,0.42,0.02,46.00,0.49,0.02,9.00,0.10,0.02,0.00,0.00,0.00
No tengo nombramiento,11.00,0.34,0.01,19.00,0.59,0.01,2.00,0.06,0.01,0.00,0.00,0.00,11.00,0.34,0.01,20.00,0.63,0.01,1.00,0.03,0.01,0.00,0.00,0.00,12.00,0.38,0.01,20.00,0.63,0.01,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.44,0.01,18.00,0.56,0.01,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.38,0.01,19.00,0.59,0.01,1.00,0.03,0.00,0.00,0.00,0.00
Otro,33.00,0.36,0.02,59.00,0.63,0.02,1.00,0.01,0.01,0.00,0.00,0.00,34.00,0.37,0.02,57.00,0.61,0.02,1.00,0.01,0.01,1.00,0.01,0.09,50.00,0.54,0.02,41.00,0.44,0.02,2.00,0.02,0.02,0.00,0.00,0.00,42.00,0.45,0.02,50.00,0.54,0.02,1.00,0.01,0.01,0.00,0.00,0.00,25.00,0.27,0.01,53.00,0.57,0.02,15.00,0.16,0.04,0.00,0.00,0.00
GENERAL PÚBLICA,2040.00,0.41,0.95,2806.00,0.56,0.94,161.00,0.03,0.98,13.00,0.00,1.00,2131.00,0.43,0.94,2726.00,0.54,0.94,152.00,0.03,0.96,11.00,0.00,1.00,2378.00,0.47,0.94,2525.00,0.50,0.94,111.00,0.02,0.97,6.00,0.00,1.00,2037.00,0.41,0.94,2839.00,0.57,0.94,135.00,0.03,0.95,9.00,0.00,1.00,1755.00,0.35,0.94,2863.00,0.57,0.94,357.00,0.07,0.93,45.00,0.01,0.92
INDÍGENAS,119.00,0.38,0.06,194.00,0.61,0.07,4.00,0.01,0.02,0.00,0.00,0.00,126.00,0.40,0.06,184.00,0.58,0.06,7.00,0.02,0.04,0.00,0.00,0.00,145.00,0.46,0.06,169.00,0.53,0.06,3.00,0.01,0.03,0.00,0.00,0.00,127.00,0.40,0.06,183.00,0.58,0.06,7.00,0.02,0.05,0.00,0.00,0.00,113.00,0.36,0.06,174.00,0.55,0.06,26.00,0.08,0.07,4.00,0.01,0.08
Total,2159.00,0.41,1.00,3000.00,0.56,1.00,165.00,0.03,1.00,13.00,0.00,1.00,2257.00,0.42,1.00,2910.00,0.55,1.00,159.00,0.03,1.00,11.00,0.00,1.00,2523.00,0.47,1.00,2694.00,0.51,1.00,114.00,0.02,1.00,6.00,0.00,1.00,2164.00,0.41,1.00,3022.00,0.57,1.00,142.00,0.03,1.00,9.00,0.00,1.00,1868.00,0.35,1.00,3037.00,0.57,1.00,383.00,0.07,1.00,49.00,0.01,1.00
