Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
TAMAULIPAS,377.00,0.32,0.04,710.00,0.61,0.04,78.00,0.07,0.04,4.00,0.00,0.03,380.00,0.33,0.04,714.00,0.61,0.04,70.00,0.06,0.03,4.00,0.00,0.03,440.00,0.38,0.04,611.00,0.52,0.04,105.00,0.09,0.03,13.00,0.01,0.02,479.00,0.41,0.04,613.00,0.52,0.04,69.00,0.06,0.04,8.00,0.01,0.04,467.00,0.40,0.04,612.00,0.52,0.04,82.00,0.07,0.03,8.00,0.01,0.02,460.00,0.39,0.04,620.00,0.53,0.04,75.00,0.06,0.04,14.00,0.01,0.04,429.00,0.37,0.04,669.00,0.57,0.04,66.00,0.06,0.03,5.00,0.00,0.02,369.00,0.32,0.04,681.00,0.58,0.04,110.00,0.09,0.04,9.00,0.01,0.02
TLAXCALA,317.00,0.29,0.03,642.00,0.60,0.04,112.00,0.10,0.05,7.00,0.01,0.05,266.00,0.25,0.03,694.00,0.64,0.04,111.00,0.10,0.05,7.00,0.01,0.05,309.00,0.29,0.03,595.00,0.55,0.04,142.00,0.13,0.04,32.00,0.03,0.05,372.00,0.35,0.03,615.00,0.57,0.04,85.00,0.08,0.05,6.00,0.01,0.03,342.00,0.32,0.03,599.00,0.56,0.04,124.00,0.12,0.05,13.00,0.01,0.03,311.00,0.29,0.03,617.00,0.57,0.04,128.00,0.12,0.06,22.00,0.02,0.06,307.00,0.29,0.03,652.00,0.61,0.04,113.00,0.11,0.06,6.00,0.01,0.03,263.00,0.24,0.03,644.00,0.60,0.04,158.00,0.15,0.06,13.00,0.01,0.03
VERACRUZ,211.00,0.33,0.02,383.00,0.60,0.02,39.00,0.06,0.02,1.00,0.00,0.01,189.00,0.30,0.02,398.00,0.63,0.02,46.00,0.07,0.02,1.00,0.00,0.01,208.00,0.33,0.02,336.00,0.53,0.02,80.00,0.13,0.03,10.00,0.02,0.02,245.00,0.39,0.02,343.00,0.54,0.02,43.00,0.07,0.02,3.00,0.01,0.02,219.00,0.35,0.02,359.00,0.57,0.02,52.00,0.08,0.02,4.00,0.01,0.01,245.00,0.39,0.02,334.00,0.53,0.02,48.00,0.08,0.02,7.00,0.01,0.02,225.00,0.36,0.02,363.00,0.57,0.02,44.00,0.07,0.02,2.00,0.00,0.01,187.00,0.30,0.02,372.00,0.59,0.02,66.00,0.10,0.02,9.00,0.01,0.02
YUCATÁN,241.00,0.34,0.02,401.00,0.57,0.02,61.00,0.09,0.03,3.00,0.00,0.02,230.00,0.33,0.02,415.00,0.59,0.02,57.00,0.08,0.03,4.00,0.01,0.03,280.00,0.40,0.03,329.00,0.47,0.02,75.00,0.11,0.02,22.00,0.03,0.03,310.00,0.44,0.03,349.00,0.49,0.02,40.00,0.06,0.02,7.00,0.01,0.04,305.00,0.43,0.03,330.00,0.47,0.02,55.00,0.08,0.02,16.00,0.02,0.04,318.00,0.45,0.03,326.00,0.46,0.02,54.00,0.08,0.03,8.00,0.01,0.02,281.00,0.40,0.03,359.00,0.51,0.02,62.00,0.09,0.03,4.00,0.01,0.02,242.00,0.34,0.03,367.00,0.52,0.02,83.00,0.12,0.03,14.00,0.02,0.04
ZACATECAS,334.00,0.30,0.03,663.00,0.60,0.04,107.00,0.10,0.05,10.00,0.01,0.07,342.00,0.31,0.04,669.00,0.60,0.04,93.00,0.08,0.05,10.00,0.01,0.06,370.00,0.33,0.03,560.00,0.50,0.04,152.00,0.14,0.05,32.00,0.03,0.05,437.00,0.39,0.04,580.00,0.52,0.04,90.00,0.08,0.05,7.00,0.01,0.04,402.00,0.36,0.03,585.00,0.53,0.04,111.00,0.10,0.05,16.00,0.01,0.04,399.00,0.36,0.03,584.00,0.52,0.04,108.00,0.10,0.05,23.00,0.02,0.06,376.00,0.34,0.03,616.00,0.55,0.04,114.00,0.10,0.06,8.00,0.01,0.04,335.00,0.30,0.04,643.00,0.58,0.04,124.00,0.11,0.04,12.00,0.01,0.03
Hombre,4087.00,0.33,0.41,7309.00,0.59,0.43,968.00,0.08,0.43,79.00,0.01,0.53,4098.00,0.33,0.42,7432.00,0.60,0.43,843.00,0.07,0.41,70.00,0.01,0.45,4455.00,0.36,0.41,6423.00,0.52,0.43,1296.00,0.10,0.41,269.00,0.02,0.41,4963.00,0.40,0.41,6601.00,0.53,0.43,783.00,0.06,0.42,96.00,0.01,0.50,4807.00,0.39,0.41,6537.00,0.53,0.43,946.00,0.08,0.40,153.00,0.01,0.38,4940.00,0.40,0.42,6448.00,0.52,0.42,882.00,0.07,0.42,173.00,0.01,0.49,4622.00,0.37,0.42,6892.00,0.55,0.43,833.00,0.07,0.41,95.00,0.01,0.43,4128.00,0.33,0.43,7051.00,0.57,0.43,1122.00,0.09,0.39,141.00,0.01,0.37
Mujer,5924.00,0.35,0.59,9796.00,0.57,0.57,1268.00,0.07,0.57,71.00,0.00,0.47,5729.00,0.34,0.58,10049.00,0.59,0.58,1194.00,0.07,0.59,86.00,0.01,0.55,6320.00,0.37,0.59,8460.00,0.50,0.57,1899.00,0.11,0.59,380.00,0.02,0.59,7086.00,0.42,0.59,8799.00,0.52,0.57,1078.00,0.06,0.58,95.00,0.01,0.50,6863.00,0.40,0.59,8516.00,0.50,0.57,1434.00,0.08,0.60,245.00,0.01,0.62,6824.00,0.40,0.58,8834.00,0.52,0.58,1216.00,0.07,0.58,184.00,0.01,0.52,6486.00,0.38,0.58,9226.00,0.54,0.57,1219.00,0.07,0.59,128.00,0.01,0.57,5566.00,0.33,0.57,9482.00,0.56,0.57,1770.00,0.10,0.61,240.00,0.01,0.63
18 a 20 años,80.00,0.35,0.01,140.00,0.61,0.01,10.00,0.04,0.00,0.00,0.00,0.00,73.00,0.32,0.01,144.00,0.63,0.01,13.00,0.06,0.01,0.00,0.00,0.00,80.00,0.35,0.01,126.00,0.55,0.01,20.00,0.09,0.01,4.00,0.02,0.01,81.00,0.35,0.01,135.00,0.59,0.01,14.00,0.06,0.01,0.00,0.00,0.00,80.00,0.35,0.01,136.00,0.59,0.01,11.00,0.05,0.01,3.00,0.01,0.01,83.00,0.36,0.01,135.00,0.59,0.01,12.00,0.05,0.01,0.00,0.00,0.00,83.00,0.36,0.01,136.00,0.59,0.01,11.00,0.05,0.01,0.00,0.00,0.00,71.00,0.31,0.01,143.00,0.62,0.01,14.00,0.06,0.01,2.00,0.01,0.01
21 a 30 años,1356.00,0.38,0.14,1969.00,0.55,0.12,240.00,0.07,0.11,19.00,0.01,0.13,1367.00,0.38,0.14,1994.00,0.56,0.11,202.00,0.06,0.10,20.00,0.01,0.13,1505.00,0.42,0.14,1724.00,0.48,0.12,292.00,0.08,0.09,63.00,0.02,0.10,1615.00,0.45,0.13,1755.00,0.49,0.11,193.00,0.05,0.10,21.00,0.01,0.11,1615.00,0.45,0.14,1720.00,0.48,0.11,199.00,0.06,0.08,50.00,0.01,0.13,1549.00,0.43,0.13,1755.00,0.49,0.12,240.00,0.07,0.11,40.00,0.01,0.11,1480.00,0.41,0.13,1888.00,0.53,0.12,196.00,0.06,0.10,20.00,0.01,0.09,1344.00,0.38,0.14,1925.00,0.54,0.12,275.00,0.08,0.10,40.00,0.01,0.11
31 a 40 años,3199.00,0.33,0.32,5539.00,0.58,0.32,791.00,0.08,0.35,53.00,0.01,0.35,3177.00,0.33,0.32,5597.00,0.58,0.32,740.00,0.08,0.36,68.00,0.01,0.44,3479.00,0.36,0.32,4752.00,0.50,0.32,1120.00,0.12,0.35,231.00,0.02,0.36,3824.00,0.40,0.32,4984.00,0.52,0.32,702.00,0.07,0.38,71.00,0.01,0.37,3725.00,0.39,0.32,4854.00,0.51,0.32,864.00,0.09,0.36,138.00,0.01,0.35,3646.00,0.38,0.31,5013.00,0.52,0.33,767.00,0.08,0.37,156.00,0.02,0.44,3503.00,0.37,0.32,5250.00,0.55,0.33,744.00,0.08,0.36,84.00,0.01,0.38,3078.00,0.32,0.32,5396.00,0.56,0.33,980.00,0.10,0.34,126.00,0.01,0.33
41 a 50 años,2985.00,0.32,0.30,5601.00,0.60,0.33,717.00,0.08,0.32,52.00,0.01,0.35,2922.00,0.31,0.30,5727.00,0.61,0.33,661.00,0.07,0.32,45.00,0.01,0.29,3208.00,0.34,0.30,4865.00,0.52,0.33,1068.00,0.11,0.33,214.00,0.02,0.33,3708.00,0.40,0.31,5021.00,0.54,0.33,563.00,0.06,0.30,63.00,0.01,0.33,3526.00,0.38,0.30,4928.00,0.53,0.33,771.00,0.08,0.32,130.00,0.01,0.33,3547.00,0.38,0.30,4997.00,0.53,0.33,696.00,0.07,0.33,114.00,0.01,0.32,3328.00,0.36,0.30,5285.00,0.57,0.33,670.00,0.07,0.33,72.00,0.01,0.32,2873.00,0.31,0.30,5358.00,0.57,0.32,1010.00,0.11,0.35,114.00,0.01,0.30
51 a 60 años,1999.00,0.35,0.20,3314.00,0.58,0.19,423.00,0.07,0.19,21.00,0.00,0.14,1903.00,0.33,0.19,3471.00,0.60,0.20,366.00,0.06,0.18,17.00,0.00,0.11,2094.00,0.36,0.19,2925.00,0.51,0.20,619.00,0.11,0.19,119.00,0.02,0.18,2368.00,0.41,0.20,3019.00,0.52,0.20,341.00,0.06,0.18,29.00,0.01,0.15,2276.00,0.40,0.20,2941.00,0.51,0.20,475.00,0.08,0.20,65.00,0.01,0.16,2452.00,0.43,0.21,2928.00,0.51,0.19,340.00,0.06,0.16,37.00,0.01,0.10,2268.00,0.39,0.20,3077.00,0.53,0.19,376.00,0.07,0.18,36.00,0.01,0.16,1929.00,0.34,0.20,3201.00,0.56,0.19,545.00,0.10,0.19,82.00,0.01,0.22
61 a 70 años,377.00,0.40,0.04,512.00,0.54,0.03,50.00,0.05,0.02,5.00,0.01,0.03,370.00,0.39,0.04,519.00,0.55,0.03,50.00,0.05,0.03,5.00,0.01,0.03,391.00,0.41,0.04,462.00,0.49,0.03,74.00,0.08,0.02,17.00,0.02,0.03,428.00,0.45,0.04,464.00,0.49,0.03,46.00,0.05,0.03,6.00,0.01,0.03,429.00,0.45,0.04,447.00,0.47,0.03,56.00,0.06,0.02,12.00,0.01,0.03,463.00,0.49,0.04,432.00,0.46,0.03,40.00,0.04,0.02,9.00,0.01,0.03,426.00,0.45,0.04,457.00,0.48,0.03,51.00,0.05,0.03,10.00,0.01,0.05,381.00,0.40,0.04,481.00,0.51,0.03,66.00,0.07,0.02,16.00,0.02,0.04
71 a 80 años,15.00,0.30,0.00,30.00,0.60,0.00,5.00,0.10,0.00,0.00,0.00,0.00,15.00,0.30,0.00,29.00,0.58,0.00,5.00,0.10,0.00,1.00,0.02,0.01,18.00,0.36,0.00,29.00,0.58,0.00,2.00,0.04,0.00,1.00,0.02,0.00,25.00,0.50,0.00,22.00,0.44,0.00,2.00,0.04,0.00,1.00,0.02,0.01,19.00,0.38,0.00,27.00,0.54,0.00,4.00,0.08,0.00,0.00,0.00,0.00,24.00,0.48,0.00,22.00,0.44,0.00,3.00,0.06,0.00,1.00,0.02,0.00,20.00,0.40,0.00,25.00,0.50,0.00,4.00,0.08,0.00,1.00,0.02,0.00,18.00,0.36,0.00,29.00,0.58,0.00,2.00,0.04,0.00,1.00,0.02,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",190.00,0.27,0.02,452.00,0.65,0.03,49.00,0.07,0.02,3.00,0.00,0.02,190.00,0.27,0.02,465.00,0.67,0.03,36.00,0.05,0.02,3.00,0.00,0.02,225.00,0.32,0.02,410.00,0.59,0.03,54.00,0.08,0.02,5.00,0.01,0.01,266.00,0.38,0.02,393.00,0.57,0.03,32.00,0.05,0.02,3.00,0.00,0.02,256.00,0.37,0.02,394.00,0.57,0.03,39.00,0.06,0.02,5.00,0.01,0.01,250.00,0.36,0.02,399.00,0.58,0.03,36.00,0.05,0.02,9.00,0.01,0.03,230.00,0.33,0.02,413.00,0.60,0.03,44.00,0.06,0.02,7.00,0.01,0.03,192.00,0.28,0.02,423.00,0.61,0.03,70.00,0.10,0.02,9.00,0.01,0.02
Normal básica sin licenciatura,48.00,0.31,0.01,91.00,0.59,0.01,16.00,0.10,0.01,0.00,0.00,0.00,40.00,0.26,0.00,106.00,0.68,0.01,9.00,0.06,0.00,0.00,0.00,0.00,48.00,0.31,0.00,90.00,0.58,0.01,15.00,0.10,0.01,2.00,0.01,0.00,57.00,0.37,0.01,85.00,0.55,0.01,11.00,0.07,0.01,2.00,0.01,0.01,63.00,0.41,0.01,78.00,0.50,0.01,13.00,0.08,0.01,1.00,0.01,0.00,46.00,0.30,0.00,100.00,0.65,0.01,5.00,0.03,0.00,4.00,0.03,0.01,51.00,0.33,0.01,95.00,0.61,0.01,8.00,0.05,0.00,1.00,0.01,0.00,44.00,0.28,0.01,100.00,0.65,0.01,9.00,0.06,0.00,2.00,0.01,0.01
Normal superior,1410.00,0.33,0.14,2586.00,0.60,0.15,317.00,0.07,0.14,18.00,0.00,0.12,1375.00,0.32,0.14,2665.00,0.62,0.15,275.00,0.06,0.14,16.00,0.00,0.10,1519.00,0.35,0.14,2303.00,0.53,0.16,419.00,0.10,0.13,90.00,0.02,0.14,1700.00,0.39,0.14,2352.00,0.54,0.15,253.00,0.06,0.14,25.00,0.01,0.13,1642.00,0.38,0.14,2318.00,0.54,0.15,328.00,0.08,0.14,42.00,0.01,0.11,1708.00,0.39,0.15,2318.00,0.54,0.15,264.00,0.06,0.13,40.00,0.01,0.11,1615.00,0.37,0.15,2427.00,0.56,0.15,261.00,0.06,0.13,28.00,0.01,0.13,1374.00,0.32,0.14,2521.00,0.58,0.15,374.00,0.09,0.13,61.00,0.01,0.16
Normal Intercultural Bilingüe,11.00,0.79,0.00,3.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.71,0.00,3.00,0.21,0.00,1.00,0.07,0.00,0.00,0.00,0.00,7.00,0.50,0.00,6.00,0.43,0.00,0.00,0.00,0.00,1.00,0.07,0.00,9.00,0.64,0.00,2.00,0.14,0.00,3.00,0.21,0.00,0.00,0.00,0.00,9.00,0.64,0.00,3.00,0.21,0.00,2.00,0.14,0.00,0.00,0.00,0.00,8.00,0.57,0.00,5.00,0.36,0.00,1.00,0.07,0.00,0.00,0.00,0.00,9.00,0.64,0.00,5.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.50,0.00,6.00,0.43,0.00,1.00,0.07,0.00,0.00,0.00,0.00
Licenciatura,5238.00,0.33,0.52,9521.00,0.59,0.56,1189.00,0.07,0.53,78.00,0.01,0.52,5176.00,0.32,0.53,9697.00,0.61,0.56,1075.00,0.07,0.53,77.00,0.01,0.49,5789.00,0.36,0.54,8204.00,0.51,0.55,1721.00,0.11,0.54,312.00,0.02,0.48,6461.00,0.40,0.54,8508.00,0.53,0.55,960.00,0.06,0.52,97.00,0.01,0.51,6264.00,0.39,0.54,8356.00,0.52,0.56,1210.00,0.08,0.51,196.00,0.01,0.49,6240.00,0.39,0.53,8443.00,0.53,0.55,1159.00,0.07,0.55,184.00,0.01,0.52,5867.00,0.37,0.53,8943.00,0.56,0.56,1111.00,0.07,0.54,105.00,0.01,0.47,5084.00,0.32,0.52,9129.00,0.57,0.55,1620.00,0.10,0.56,193.00,0.01,0.51
Especialidad,261.00,0.35,0.03,419.00,0.56,0.02,59.00,0.08,0.03,6.00,0.01,0.04,252.00,0.34,0.03,435.00,0.58,0.03,53.00,0.07,0.03,5.00,0.01,0.03,270.00,0.36,0.03,386.00,0.52,0.03,67.00,0.09,0.02,22.00,0.03,0.03,304.00,0.41,0.03,391.00,0.53,0.03,45.00,0.06,0.02,5.00,0.01,0.03,293.00,0.39,0.03,379.00,0.51,0.03,62.00,0.08,0.03,11.00,0.02,0.03,290.00,0.39,0.03,395.00,0.53,0.03,50.00,0.07,0.02,10.00,0.01,0.03,272.00,0.37,0.02,411.00,0.55,0.03,58.00,0.08,0.03,4.00,0.01,0.02,243.00,0.33,0.03,434.00,0.58,0.03,62.00,0.08,0.02,6.00,0.01,0.02
Maestría,2547.00,0.38,0.25,3638.00,0.54,0.21,546.00,0.08,0.24,32.00,0.01,0.21,2488.00,0.37,0.25,3700.00,0.55,0.21,529.00,0.08,0.26,46.00,0.01,0.30,2613.00,0.39,0.24,3133.00,0.46,0.21,824.00,0.12,0.26,193.00,0.03,0.30,2920.00,0.43,0.24,3294.00,0.49,0.21,497.00,0.07,0.27,52.00,0.01,0.27,2829.00,0.42,0.24,3162.00,0.47,0.21,647.00,0.10,0.27,125.00,0.02,0.31,2885.00,0.43,0.25,3264.00,0.48,0.21,521.00,0.08,0.25,93.00,0.01,0.26,2754.00,0.41,0.25,3432.00,0.51,0.21,510.00,0.08,0.25,66.00,0.01,0.30,2456.00,0.36,0.25,3521.00,0.52,0.21,688.00,0.10,0.24,97.00,0.01,0.26
Doctorado,292.00,0.39,0.03,383.00,0.51,0.02,58.00,0.08,0.03,13.00,0.02,0.09,281.00,0.38,0.03,400.00,0.54,0.02,56.00,0.08,0.03,9.00,0.01,0.06,288.00,0.39,0.03,345.00,0.46,0.02,89.00,0.12,0.03,24.00,0.03,0.04,316.00,0.42,0.03,366.00,0.49,0.02,57.00,0.08,0.03,7.00,0.01,0.04,301.00,0.40,0.03,352.00,0.47,0.02,76.00,0.10,0.03,17.00,0.02,0.04,319.00,0.43,0.03,351.00,0.47,0.02,60.00,0.08,0.03,16.00,0.02,0.05,293.00,0.39,0.03,384.00,0.52,0.02,58.00,0.08,0.03,11.00,0.02,0.05,277.00,0.37,0.03,393.00,0.53,0.02,63.00,0.08,0.02,13.00,0.02,0.03
Posdoctorado,14.00,0.50,0.00,12.00,0.43,0.00,2.00,0.07,0.00,0.00,0.00,0.00,15.00,0.54,0.00,10.00,0.36,0.00,3.00,0.11,0.00,0.00,0.00,0.00,16.00,0.57,0.00,6.00,0.21,0.00,6.00,0.21,0.00,0.00,0.00,0.00,16.00,0.57,0.00,9.00,0.32,0.00,3.00,0.11,0.00,0.00,0.00,0.00,13.00,0.46,0.00,11.00,0.39,0.00,3.00,0.11,0.00,1.00,0.04,0.00,18.00,0.64,0.00,7.00,0.25,0.00,2.00,0.07,0.00,1.00,0.04,0.00,17.00,0.61,0.00,8.00,0.29,0.00,2.00,0.07,0.00,1.00,0.04,0.00,17.00,0.61,0.00,6.00,0.21,0.00,5.00,0.18,0.00,0.00,0.00,0.00
Menor o igual a 10,3384.00,0.36,0.34,5252.00,0.56,0.31,687.00,0.07,0.31,47.00,0.01,0.31,3362.00,0.36,0.34,5330.00,0.57,0.31,628.00,0.07,0.31,50.00,0.01,0.32,3753.00,0.40,0.35,4500.00,0.48,0.30,929.00,0.10,0.29,188.00,0.02,0.29,4061.00,0.43,0.34,4666.00,0.50,0.30,588.00,0.06,0.32,55.00,0.01,0.29,4005.00,0.43,0.34,4573.00,0.49,0.30,679.00,0.07,0.29,113.00,0.01,0.28,3862.00,0.41,0.33,4695.00,0.50,0.31,687.00,0.07,0.33,126.00,0.01,0.35,3703.00,0.40,0.33,4989.00,0.53,0.31,614.00,0.07,0.30,64.00,0.01,0.29,3290.00,0.35,0.34,5150.00,0.55,0.31,826.00,0.09,0.29,104.00,0.01,0.27
11 a 20,3614.00,0.32,0.36,6726.00,0.59,0.39,922.00,0.08,0.41,65.00,0.01,0.43,3569.00,0.32,0.36,6843.00,0.60,0.39,848.00,0.08,0.42,67.00,0.01,0.43,3877.00,0.34,0.36,5868.00,0.52,0.39,1316.00,0.12,0.41,266.00,0.02,0.41,4398.00,0.39,0.37,6080.00,0.54,0.40,777.00,0.07,0.42,72.00,0.01,0.38,4260.00,0.38,0.37,5910.00,0.52,0.39,994.00,0.09,0.42,163.00,0.01,0.41,4241.00,0.37,0.36,6058.00,0.54,0.40,879.00,0.08,0.42,148.00,0.01,0.42,4024.00,0.36,0.36,6333.00,0.56,0.39,876.00,0.08,0.43,93.00,0.01,0.42,3494.00,0.31,0.36,6452.00,0.57,0.39,1229.00,0.11,0.43,150.00,0.01,0.39
21 a 30,3013.00,0.34,0.30,5127.00,0.58,0.30,627.00,0.07,0.28,38.00,0.00,0.25,2896.00,0.33,0.30,5308.00,0.60,0.30,561.00,0.06,0.28,39.00,0.00,0.25,3145.00,0.36,0.29,4515.00,0.51,0.30,950.00,0.11,0.30,195.00,0.02,0.30,3590.00,0.41,0.30,4654.00,0.53,0.30,496.00,0.06,0.27,64.00,0.01,0.34,3405.00,0.39,0.29,4570.00,0.52,0.30,707.00,0.08,0.30,122.00,0.01,0.31,3661.00,0.42,0.31,4529.00,0.51,0.30,532.00,0.06,0.25,83.00,0.01,0.23,3381.00,0.38,0.30,4796.00,0.55,0.30,562.00,0.06,0.27,66.00,0.01,0.30,2910.00,0.33,0.30,4931.00,0.56,0.30,837.00,0.10,0.29,127.00,0.01,0.33
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
