Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
11 a 20,1752.00,0.90,0.37,196.00,0.10,0.33,1616.00,0.83,0.37,332.00,0.17,0.36,1575.00,0.81,0.37,373.00,0.19,0.36,1379.00,0.71,0.37,569.00,0.29,0.36,1834.00,0.94,0.36,114.00,0.06,0.37,1863.00,0.96,0.37,85.00,0.04,0.30,1541.00,0.79,0.37,407.00,0.21,0.36,1319.00,0.68,0.37,629.00,0.32,0.36,1723.00,0.88,0.37,225.00,0.12,0.35,,,,,,
21 a 30,1378.00,0.90,0.29,151.00,0.10,0.25,1311.00,0.86,0.30,218.00,0.14,0.24,1282.00,0.84,0.30,247.00,0.16,0.24,1031.00,0.67,0.28,498.00,0.33,0.31,1445.00,0.95,0.29,84.00,0.06,0.28,1448.00,0.95,0.29,81.00,0.05,0.28,1204.00,0.79,0.29,325.00,0.21,0.29,979.00,0.64,0.27,550.00,0.36,0.32,1342.00,0.88,0.29,187.00,0.12,0.29,,,,,,
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
Definitivo o base,4412.00,0.89,0.93,553.00,0.11,0.92,4105.00,0.83,0.93,860.00,0.17,0.94,3992.00,0.80,0.93,973.00,0.20,0.93,3463.00,0.70,0.93,1502.00,0.30,0.94,4678.00,0.94,0.93,287.00,0.06,0.94,4700.00,0.95,0.93,265.00,0.05,0.93,3919.00,0.79,0.93,1046.00,0.21,0.93,3326.00,0.67,0.92,1639.00,0.33,0.95,4369.00,0.88,0.93,596.00,0.12,0.94,,,,,,
Interino,136.00,0.86,0.03,23.00,0.15,0.04,135.00,0.85,0.03,24.00,0.15,0.03,122.00,0.77,0.03,37.00,0.23,0.04,125.00,0.79,0.03,34.00,0.21,0.02,154.00,0.97,0.03,5.00,0.03,0.02,150.00,0.94,0.03,9.00,0.06,0.03,127.00,0.80,0.03,32.00,0.20,0.03,115.00,0.72,0.03,44.00,0.28,0.03,146.00,0.92,0.03,13.00,0.08,0.02,,,,,,
Tiempo fijo,80.00,0.87,0.02,12.00,0.13,0.02,76.00,0.83,0.02,16.00,0.17,0.02,79.00,0.86,0.02,13.00,0.14,0.01,69.00,0.75,0.02,23.00,0.25,0.01,87.00,0.95,0.02,5.00,0.05,0.02,85.00,0.92,0.02,7.00,0.08,0.02,76.00,0.83,0.02,16.00,0.17,0.01,75.00,0.82,0.02,17.00,0.19,0.01,78.00,0.85,0.02,14.00,0.15,0.02,,,,,,
No tengo nombramiento,28.00,0.88,0.01,4.00,0.13,0.01,27.00,0.84,0.01,5.00,0.16,0.01,26.00,0.81,0.01,6.00,0.19,0.01,23.00,0.72,0.01,9.00,0.28,0.01,28.00,0.88,0.01,4.00,0.13,0.01,30.00,0.94,0.01,2.00,0.06,0.01,23.00,0.72,0.01,9.00,0.28,0.01,25.00,0.78,0.01,7.00,0.22,0.00,28.00,0.88,0.01,4.00,0.13,0.01,,,,,,
Otro,82.00,0.88,0.02,11.00,0.12,0.02,78.00,0.84,0.02,15.00,0.16,0.02,79.00,0.85,0.02,14.00,0.15,0.01,63.00,0.68,0.02,30.00,0.32,0.02,88.00,0.95,0.02,5.00,0.05,0.02,90.00,0.97,0.02,3.00,0.03,0.01,69.00,0.74,0.02,24.00,0.26,0.02,66.00,0.71,0.02,27.00,0.29,0.02,83.00,0.89,0.02,10.00,0.11,0.02,,,,,,
GENERAL PÚBLICA,4453.00,0.89,0.94,570.00,0.11,0.95,4154.00,0.83,0.94,869.00,0.17,0.95,4041.00,0.80,0.94,982.00,0.20,0.94,3521.00,0.70,0.94,1502.00,0.30,0.94,4735.00,0.94,0.94,288.00,0.06,0.94,4746.00,0.95,0.94,277.00,0.06,0.97,3959.00,0.79,0.94,1064.00,0.21,0.94,3379.00,0.67,0.94,1644.00,0.33,0.95,4425.00,0.88,0.94,598.00,0.12,0.94,,,,,,
INDÍGENAS,285.00,0.90,0.06,33.00,0.10,0.06,267.00,0.84,0.06,51.00,0.16,0.06,257.00,0.81,0.06,61.00,0.19,0.06,222.00,0.70,0.06,96.00,0.30,0.06,300.00,0.94,0.06,18.00,0.06,0.06,309.00,0.97,0.06,9.00,0.03,0.03,255.00,0.80,0.06,63.00,0.20,0.06,228.00,0.72,0.06,90.00,0.28,0.05,279.00,0.88,0.06,39.00,0.12,0.06,,,,,,
Total,4738.00,0.89,1.00,603.00,0.11,1.00,4421.00,0.83,1.00,920.00,0.17,1.00,4298.00,0.81,1.00,1043.00,0.20,1.00,3743.00,0.70,1.00,1598.00,0.30,1.00,5035.00,0.94,1.00,306.00,0.06,1.00,5055.00,0.95,1.00,286.00,0.05,1.00,4214.00,0.79,1.00,1127.00,0.21,1.00,3607.00,0.68,1.00,1734.00,0.33,1.00,4704.00,0.88,1.00,637.00,0.12,1.00,,,,,,
